stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,39.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,6.92,0,0,0,0,0,0,0,2.06,21.31,0,0,0,2.48,0,1.39,0,0,6.11,0,0,1.97,3.64,16.02,0.82,1,2.86,0,1.22
 24-34,0,0,0.6,1.29,2.35,0,0.67,0,0,0,0,0.59,5.1,69.72,0,0,9.71,0.99,1.5,6.49,0,0.81,24.28,0,0,1.86,0,45.43,3.99,7.01,15.04,0,0
 36-46,0,0,0,0,0,0,1.41,0,0,0,0,0.61,4.79,13.24,0,0,7.13,1.52,0,0.8,0,0,2.61,2.9,0,0,0,47.16,0,0.78,15.12,0,0
 48-58,0,0,0,0,0,0,4.78,0,0,0,5.59,3.91,10.66,0.4,0,0,1.48,0,2.24,0,0,0.46,20.63,0,0,0.4,0,16.41,0,2.46,3.48,0,1.53
 60-70,0,0,0,0,0,0,1.67,0,0,0,1.25,3.72,8.95,5.52,0,0,15.13,0,0,0,0,0,1.38,1.44,0,2.11,0,18.3,0,3.02,4.96,0,0
 72-82,0,2.28,0,0,0,0,18.44,0,0,0,2.21,36.82,7.18,6.65,0.52,0,6.58,0,10.27,0,0,0,9.74,1.21,0,1.08,0,23.86,0,11.41,5.12,1.37,0
 84-94,0,1.36,0.78,1.4,0,2.96,7.23,0,0.56,0,0.8,88.91,7.81,19.99,0,0,3.16,0,6.47,0,0,0,25.79,1.98,0,5.53,0,60.47,0,0,16.15,0,0
 96-106,0,6.7,0.64,5.52,7.23,0,26.33,0,0,3.58,2.71,108.71,13.96,26.41,0,0,3.13,0,8.94,0,1.32,0.7,47.73,4.4,1.16,5.99,0,46.85,0,4.23,9.23,0,0
108-118,0,5.84,2.57,3.35,4.16,0,8.56,0.55,0,0,1.58,155.46,16.2,13.61,0.43,0,7.28,0,8.05,0,2.23,0,32.8,0.83,0.54,5.57,0,37.19,0,0,13.97,0.65,1.03
120,0,13.09,0,1.32,0,0,3.21,0,0,0,3.99,100.83,30.86,7.6,0,1.15,1.08,0,3.73,0,0,2.43,11.9,15.12,0,0,0,42.39,0,0,29.87,0,0
