stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,40.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,44.81,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,2.72,1.06,0,1.8,0,0.83,0,0.8,0,2.29,0,1.24,15.95,0,0,2.36,0,1.34,3.77,0.99,0
 24-34,0,0,0,0,1.3,0,0,1.68,0,0,0,0,0,2.98,0,0,5.28,0,0,0,1.5,0,0.72,1.16,0
 36-46,0,0,0,0.96,1.87,0,0,4.9,0,0,0,0,12.43,1.35,0,0,11.82,0,0.73,0.9,0,0,0,0,0
 48-58,0.39,0,0,0,1.84,0,0,1.86,0,0,0,0,0,2.1,0,1.06,11.24,0,0,0,0.68,0,0,0,0
 60-70,0,0,0,0,3.79,0,0,1.37,0,0.66,0,3.46,0,0,0,0,20.08,0,0,0.65,3.22,0,0,1.19,0
 72-82,0,0,0.68,0,0,0,0,12.7,0,2.75,0,0,0,2.08,0,0,3.74,0,0,0,2.12,0,0,1.62,0.54
 84-94,0,0,0,0,0.7,1.03,0,4.42,0,1.73,1.25,0,0,0.93,0,0.83,5.96,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.38,0,0.77,0,0,0,0,0,3.33,0,0.61,0,1.41,0,5.7,0,1.74,1.01,1.17,0,0,0,0
108-118,0,0,0,0,1.53,0,0.59,0.97,0.56,0,0,0,0,3.86,0,0,2.82,0,0,0,1.79,0,0,0,0
120,0,0,0,0,2.55,0,0,0,13.37,0,1.28,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0
