stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.94,11.71,0,0,2.56,0,0.87,0,0,0,7.08,0,0,0,0,0,0,1.45,5.41,0,0,19.43,84.95,85.4,2.46,0,0,0,0,23.64,0,83.4,64.77,38.96,0,0,1.65,0,2.6
 24-34,1.48,8.2,0,0,13.61,9.61,3.18,0,4.27,0,0,0.76,0,1.63,4.21,0,0.65,7.36,38.36,0.63,0,29.79,567.8,42.82,188.76,0,2.97,0,0,0,17.28,37.35,19.7,88.16,0,0,0.6,0,0
 36-46,6.62,8.12,0.57,0,47.4,28.6,4.96,0,9.83,0,0,2.04,0,0,15.05,0,0,27.44,79.28,0,2.12,12.71,1434.3,28.2,146.43,0,0,0,0,0,20.65,36.64,4.3,141.98,0,0,4.83,0,3.84
 48-58,4.67,8.07,1.92,0,537.7,33.44,0.57,0.94,25.32,0,0,0,0,12.66,15.26,1.03,0,16.06,101.17,0,1.21,23.62,2193.73,20.85,107.94,0,0.56,2.94,0,0,8.49,26.16,0,209.64,0,0,7.97,0,8.08
 60-70,0,20.33,0.59,0,7409.77,9.54,9.46,1.48,77.23,0,0,0,2.52,0,39.95,0,0,23.3,142.74,0,4.16,32.37,3630.56,13.35,47.7,1.46,1.21,16.65,0,0,27,8.26,0,376.32,9.95,8.15,9.87,0,11.69
 72-82,8.11,132.11,9.71,0,19809.45,8.29,4.29,9.28,400.93,4.65,0.6,10.62,4.29,4.23,39.81,3.3,21.19,1.1,345.98,0,12.37,38.54,5271.96,4.85,120.75,8.4,4.8,16.72,1.65,0,23.78,3.74,0,319.7,18.31,6.55,64.71,9.28,9.69
 84-94,6.8,87.49,6.56,10.69,12035.52,10.2,3.63,10.7,309.06,8.12,0,7.42,4.79,1.78,37.53,0,3.76,17.39,329.5,0.85,10.12,23.63,3649.1,14.12,111.73,9.95,4.27,32.45,0,0,2.8,13.84,0,197.57,34.98,2.69,53.7,3.01,13.07
 96-106,11.66,111.08,40.41,0,17879.54,36.83,9.5,5.24,384.72,9.07,0,10.54,20.75,3.78,35.47,0.84,27.17,11.39,375.52,1.8,40.03,23.48,3416.15,14.76,125.09,10.7,6.18,52.05,8.23,0,8.45,11.56,0,84.15,34.7,14.06,76.31,6.29,9.64
108-118,4.59,85.51,5.02,0,12514.94,25.08,2.58,8.01,368.22,8.57,0,7.24,16.82,2.87,28.99,2.22,5.3,1.64,408.71,1.08,51.33,34.56,5712.03,25.52,100.1,20.94,0,19.07,0,0,3.59,7.15,0,136.92,37.98,0,65.44,7.79,5.13
120,1.73,132.52,7.72,5.29,6015.92,22.84,2.95,10.02,345.73,1.38,0,6.9,6.6,2.21,22.49,0,23.3,6.22,248.73,2.91,10.85,33.59,5444.06,22.3,38.03,2,2.54,8.93,4.99,0,0,0,0,128.14,15.45,0,27.94,0,0
