stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,30.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.17,0,0,0,233.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,149.68,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.22,3.72,0,0,1293.75,0,0,0,166.9,0,0,0,0,0,0,0,0
 14-21,0,3.84,0,0,401.24,75.06,1.75,0,1.99,0,39.95,51,0,0,1.25,0,0,0,65.1,0,0,52.16,127.51,98.18,1.4,0,269.49,0,4.1,772.8,7.94,5.29,179.13,811.85,0,0,1.86,0,0
 24-34,0,0,0,0,141.43,2.26,9.44,0,38.63,14.54,70.87,21.64,0,0,0,0,0,4.13,150.87,1.23,2.43,135.06,136.92,44.29,0,0,0,0,17.98,6.88,0,7.65,162.02,763.48,0,0,25.68,0,10.2
 36-46,0,0,0.98,0,24.69,0,4.49,3.12,51.51,31.56,51.28,8.37,0,0,5.48,1.49,0,0.66,222.39,0,6.76,165.65,188.59,25.06,0,0,0,0,32.64,0,0,3.17,0.61,1246.63,0,0,10.49,0,3.75
 48-58,0,0,0,0,16.28,0,28.93,0.96,47.03,25.24,49.02,2.01,0.37,0.6,0,0,6.53,7.38,202.73,0.53,8.53,111.79,289,25.74,0,0,0,0,34.42,0,0,2.36,0,1587.35,0,0,4.07,0,7.04
 60-70,0,0,0,0,14.02,0,18.77,5.21,30.32,42.97,49.05,1.59,0,0,0,0,0,0,166.01,0,12.55,54.79,196.62,18.57,6.22,0.82,0,0,18.4,0,0,3.15,0,2013.95,0,0.94,1.05,5.99,1.07
 72-82,0,0,0,0,6.08,0,23.54,0.6,31.11,76.98,56.13,0.53,0,0,0,0.62,0,0.53,154.7,1.81,19.2,55.37,301.17,5.28,3.1,0,0,0,11.83,0,0,0,0,1169.34,2.43,2.52,1.47,10.22,19.56
 84-94,0,0,5.29,0,26.63,0,41.57,1.8,51.42,51.59,68.41,12.32,0,0.97,0,4.75,0,2.7,119.3,1.46,27.04,70.24,210.19,6.6,0,2.01,0,0,13.73,0,0,1.2,0,974.5,0,0,5.4,14.97,9.78
 96-106,0,0,8.8,0,10.23,1.6,24.42,11.29,28.06,48.87,56.52,6.86,0,0,0,4.52,4.97,2.04,100.07,3.04,15.35,53.62,239.88,4.58,0,1.51,0,0.79,9.21,0,0,1.3,0,219.97,0,6.85,2.83,12.59,1.24
108-118,0,0,1.11,0,26.52,1.01,9.42,0.46,60.04,22.77,42.02,14.28,0,0,0.86,4.95,0.43,7.13,119.92,1.15,24.33,44.13,142.14,3.64,0,0,0,0,25.36,0,0,0,0,186.6,0,3.11,9.08,20.66,1.49
120,0,0,0,0,50.11,0,8.61,0,48.46,11.49,62.58,9.71,0,0,2.78,6.49,0,0,120.42,0,15.92,44.65,195.21,9.46,0,0,0,0,37.83,0,0,1.32,0,181.32,0,0,5.77,17.72,0
