stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,85.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.37,0,0,0,12.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,182.52,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.96,0,0,0,67.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.78,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,2.12,0,2.25,9.18,1.18,0,0,0,0,2.42,1.05,2.96,11.06,12.03,0,1.09,0,0
 24-34,0,0,0.62,6.7,0,0,3.59,0,0,0,0,0,3.89,0,0.73,0,0.75,0,0.66,5.06,0,6.36,63.67,0.67,0,0,0,0,0.76,0,0,0,59.42,0,0,0,0
 36-46,0,0,0,1.24,0,0,11.48,0,0,0,4.99,0,0,0,0,0,0,0,15.9,5.85,0,3.04,85.44,0,0,0,0,0,9.08,0,0,0,66.21,0,0,0,0
 48-58,0,0,0,5.72,0,0,35.65,0,0,0.43,12.29,0,0,0,0.61,0,0,0,17.85,3.9,0,0,106.11,0,0,1.24,0,0,2.64,0,0,0,47.43,0,0,0,15.35
 60-70,0,0.57,0,1.72,0,0,124.49,0,0,0,22.27,0,0.95,0,0,0,0,0,4.76,19.49,0,2.31,170.08,0,0,0,0,0,7.86,0,0,0,12.64,0,0,0,0
 72-82,0,1.47,0,0.77,4.86,0,201.6,0.74,0.5,0,39.84,0,0,0,0,0,0,0,0.68,28.14,2.19,4.29,259.73,0,1.35,3.7,0,0.71,0,0,0,0,12.98,0,0.5,0,6.08
 84-94,0,0.94,0,2.66,3.7,0,102.97,0,2.24,0.87,30.13,0,0,0,0.56,0,0,0,12.5,12.28,0.69,0,148.52,0,0,1.44,0,0,11.65,0,0,0,11.83,0.78,8.02,0,0
 96-106,0,0,0,3.26,0,0,162.83,0,3.8,2.11,17.96,0,0,0,0.61,0,0,9.55,1.98,13.43,5.65,0,173.51,0,0,0.8,0,0,4.49,0,0,0,12.83,0,3.67,0,0
108-118,0,0.57,0,3.12,0,0.5,161.89,0.52,0.71,0.44,59.34,0,0,0.59,2.99,0.52,0.49,6.39,7.4,13.77,0,1.15,153.53,0,1.4,1.16,0,0,2.27,0,0,0,8.54,1.69,0,1.93,0
120,0,0,0,7.39,1.14,0,123.39,0,0,0,69.31,3.22,0,0,0,0,0,0,1.51,10.45,0,0,165.99,0,0,1.86,0,9.21,1.07,0,0,0,10.89,0,1.67,0,0
