stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,88.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.21,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,21.68,0,0,0,24.23,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.45,5.97,0,0,36.32,0,11.79,0,0,0,0,0
 14-21,0,0,3.33,1.96,2.8,2.43,1.96,0,24.89,0.82,0,0,0,0,0,3.61,0,0,45.37,0,8.5,7.96,5.08,0,22.25,0.81,86.77,0,0,0
 24-34,0,0,0,0.59,5.78,0,0.72,0,42.12,0,0,0,0,9.67,0,2.9,0,0.94,181.22,0.75,33.08,8.62,0,0,16.92,0,74.45,0,0,0
 36-46,0,0,0.77,0,0.87,0,11.73,0,27.74,0,0,1.11,0,0.85,0,3.15,0,2.23,263.33,0,35.74,8.86,0,0.87,2.15,0,84,0,0,0
 48-58,0,0,0.67,0,0,0,36.87,0,34.55,0,0,0,2.17,0,1.28,5.55,0,1.51,263.56,0,13.71,9.76,0,0,1.46,0,104.07,0,1.42,0
 60-70,0,0,0,0,1.1,0.67,14.99,0,15.65,0,0,1.91,0.95,0,0,2,0,1.01,128.15,0,14.59,4.14,0,0,0.62,0,52.41,0,0,0
 72-82,0,0,3.45,0,4.01,0.86,56.58,0,20.52,0,0,0,3.28,0,0,2.27,0,0,109.05,0,50.42,7.8,0,0,1.14,0,18.63,0,0,0
 84-94,0,0,3.76,0,0,0,15.48,0,9.13,0.93,1.78,0,0.64,0,0,13.83,0.66,0,53.45,0,10.3,17.32,0,0.57,3.22,0,10.93,1.69,0,0
 96-106,0,0,0,0,0,1.26,14.4,0,30.65,0,0,0.63,4.36,0,0,2.53,0,0,57.22,0,41.84,10.82,0,0,2.15,0,9.36,0,0,0
108-118,0,0,1.62,0,0.89,0,22.11,0.53,16.09,0,0,0,7.82,0.51,0,10.43,0,0.46,64.76,0,25.56,17.81,0,0,1.25,0,8.55,2.14,0,1.1
120,0,0,0,0,0,0,16.28,0,37.48,0,0,0,0,0,0,3.43,0,0,99.26,0,27.61,17.84,0,0,4.26,0,14.66,0,1.1,0
