stage,blastomeres,epidermis,erythrocytes,eye,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord
  5-6,53.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,29.11,4.44,0,10.48,0
 14-21,0,0,0,0,0,0,0,6.76,0,2.02,0,0
 24-34,0,0,0,0,0,0,1.25,3.29,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.38
 48-58,0,0,0.41,0.67,0.77,0,0,1.38,0,0,0,1.68
 60-70,0,0,0,0,15.26,0,0,1.24,0,0,0,3.27
 72-82,0,0,0,0,3.94,0,0,2.89,0,0,0,0
 84-94,0,0.84,0,0,3.85,0,0,0,0,0,0,0
 96-106,0,0,0,0,64.59,0,0,1.53,0,0,0,0
108-118,0,0,0,0,31.54,1.31,0,6.52,0,0,0,0
120,0,0,0,3.22,23.55,0,0,3.68,0,0,0,17.33
