stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42,0,0,0,0,0,95.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.79,0,0,0,27.26,0,21.37,0,3.69,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.79,25.21,0,0,0,0,0,0,0,0,0,0,0,0,457.69,0,0,0,0,8.89,0,0,0,0,0,804.49,1.53,0,0,1.91,17.49,0,0,30.49,0,0
 24-34,0,0,0,0,0.7,0,0,1.13,0,0,0,0,0,0,0,0,0,0,338.91,8.89,1.89,0,3.82,30.59,0,0,0.69,0,0,451.98,0,0,0,1.36,5.93,0,0,59.09,0,0
 36-46,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,121.58,9.09,0,0,15.02,49.37,0,0,0,0,0,438.84,0,0,0,0,0.97,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,10.87,0,0.37,3.41,0,0,0,0,0,0,0,15.18,1353.29,0,0,0.6,34.7,0,0,0,0,0,231.89,0,0,0,0,4.1,0,0,0.51,0,0
 60-70,0,0,0,0,16.31,0.78,0,67.1,0,2.62,11.44,0,0,0,0,0,9.66,0,28.66,7279.93,0,0,9.64,115.62,0,0,3.67,0,0,96.47,0,0,1.27,0,26.99,0,1.79,0,0,9.44
 72-82,0,0,0.56,0,49.72,12.25,0,192.34,3.52,2.03,70.74,0,0.52,0.51,1.35,0,0.93,1.04,14.93,15953.17,0,1.82,9.08,271.61,0.52,2.23,11.2,0,0,93.1,0,0,1.06,0,12.87,0,3.86,5.75,4.01,9.39
 84-94,0,0,0,0,55.33,8.09,0,221.25,1.86,0,83.29,0,0,6.57,0,1.78,0,0,8.93,16335.37,4.97,21.09,7.56,138.54,0,0,23.38,0,0,259.87,0,3.22,0,0,17.19,0.78,6.73,2.02,0,0
 96-106,0,0,3.82,0,135.65,31.16,0,169.22,1.32,4.56,106.85,3.46,0,0,32.15,3.12,0,0,15.85,10257.72,6.25,2.49,7.2,268.35,4.27,8.12,29.27,0,2.01,86.71,0,0,0.68,0,4.04,0.64,4.85,19.99,2.72,0
108-118,0,0,0,0,61.06,8.47,3.06,155.1,0,12.5,73.81,7.81,0,0,11.28,0,0.68,11.62,5.89,11020.05,1.01,1.01,3.62,199.28,7.63,5.91,44.25,0,0,82.62,0,0,0,0,5.88,1.7,0,3.57,0,5.03
120,0,0,0,0,121.95,9.78,0,104.04,0,10.93,95.14,54.42,0,0,37.56,1.63,0,0,11.48,17381.54,0,0,14.83,168.97,53.89,11.55,27.48,0,3.68,102.39,0,0,0,0,1.95,0,2.2,9.23,0,0
