stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.73,0,0,0,75.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.78,0,0,0,14.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,68.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.35,3.96,0,0,7.67,0,0,5.22,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,12.28,0.82,0,0,0,0,0,0,1.08,0,0,0,0,0,0,15.96,0,0,2.22,54.87,4.05,0,0,0,0,0,0,0,0.82,70.45,0,0,0,0,0
 24-34,0,0,5.94,3.1,0,0,2.54,0,0,0,4.36,0,1.21,0,0,0,0,0,14.36,0,0,0,300.84,0,0.78,0,0,0,0.71,0,0.61,0,120.15,0,0,0,0,0
 36-46,0,0,0.56,7.53,0,0,11.57,0,0,0,15.04,1.47,1.05,0,3.84,0,0.85,0,3.08,0,0,0.76,557.08,0,0,2.61,0,0,0.59,0,0,0,119.36,0,0,0,0,0
 48-58,0,0,0,12.12,0,0,83.32,0,0,0,12,0,0,0,0,0,0.7,0,5.03,0.95,0,0,1245.62,0,0.48,0,0,0,0,0,0,0,156.27,0,0,0,0,4.1
 60-70,0,0.86,0,2.77,0,0,676.06,1.23,0,0,36.76,0,0,0,0,0.7,0,0,22.06,0,0,2.17,2358.51,0,0,0,0,0,8.86,0,0.71,0,300.35,0,2.44,0,0,0
 72-82,0,2.53,0,4.82,2.6,0,1380.03,0,0.5,0.9,89.41,3.54,0,0,0,0,4.38,0,58.74,0,4.32,2.48,3127.32,0,2.46,2.59,0,0,0.85,1.88,0,0,283.99,0,3.13,3.54,1.48,0
 84-94,0,0.81,0,11.49,7.98,0,1001.85,0,1.52,0.67,56.57,0.86,0,0.93,0,0,5.76,0.99,46.05,0,0,0,1772.97,0,2.7,4.77,0,0,5.21,1.1,0,0,172.03,0,0,0.78,3.66,0
 96-106,0,1.04,0,9.17,9.15,2.04,966.11,0.87,0,0,48.35,4.33,0,0,0,0.75,12.9,0,30.11,0,2.17,0,1570.75,0,0,3.92,0,0,7.61,0.73,7.61,0,67.32,0,2.43,4.72,0.59,0
108-118,0,0,0,20.58,0,0,910.51,0,0,0,44.71,2.11,2.89,4.55,0,7.36,0.56,0,41.7,0,2.5,0.59,1702.68,1,3.37,0.8,0,1.19,2.91,2.76,0,0,57.06,1.81,7.23,1.98,3.58,8
120,0,0,0,49.76,0,0,731.06,0,0,0,106.65,0,0,0,0,0,0,0,60.19,0,2.4,0,2960.75,0,9.13,1.47,0,0,0,0,1.99,0,210.2,1.37,1.54,9.54,0,0
