stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.27,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,22.06,5.97,0,0,8.58,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.08,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.82,15.88,0,0,0,0.96,0,0,0,0,9.79,0,0,0,0,0
 24-34,0,0,0.6,9.33,4.5,0,6.92,0,0,0.62,3.45,0.68,0,0,0,0,0,0,0.64,0,0,0.65,30.45,0.61,0,0,0,0.91,0,1.43,1.3,7.66,0,0,0,0,0
 36-46,0,0,0,12.1,2.23,0,13.76,0.85,0,0,6.3,0,8.29,0,0,0,0,0,5.28,0,0,4.25,22.21,2.36,0,0,0,0,0,2.62,3.05,13.12,0,0,2.66,0,0
 48-58,0,0,0,1.28,5.03,0,4.17,0,0.46,0,3.22,0,0.93,1.06,0,0,0,0,4.41,0,0,0,20.22,0,0,2.15,0,0,0,0.65,4.66,0,0,0,0,0,0
 60-70,0,0,0,2.97,5.37,0,19.81,0.7,0,0.9,0.89,0,0,0,0.78,0,0,0.66,8.81,0,0.69,0,70.78,0.63,0,1.87,0,1.32,0,0.73,5.66,25.54,0.77,0,1.05,0,6.94
 72-82,0,0,0.75,4.94,61.62,0,13.8,0,1.99,0.57,4.76,0,0.55,0,0.49,0.79,1.29,0.49,34.22,0.58,1.26,0,104.52,0,0.58,5.4,0,1.64,0,0.6,0.53,19.08,0,0,1.12,2.26,0
 84-94,0,0,0,11.34,59.16,0,31.14,0,4.18,0.91,1.87,0.88,0,0,2.17,0.8,1.02,1.27,26.96,0,0,1.56,58.07,0.61,0.56,6.35,0,7.66,0,0.87,1.69,17.9,0,0,0.59,0,9.73
 96-106,0,1.78,0,6.15,71.49,0,37.95,0.67,0,1.26,24.01,0.76,0,0,3.09,0,0,6.06,49.99,6.94,7.94,6.19,95.89,0,0,24.58,0,12.39,0,0,5.2,10.05,1.41,2.2,3.82,1.62,0.8
108-118,0,0,0,24.21,42.71,2.34,26.05,1.59,10.5,4.32,18.28,0.87,0,0,1.67,2.11,0.56,0.62,58.73,0,8.81,3.11,104.08,0,1.77,14.62,0,15.36,0,2.73,11.19,11.33,0.66,0,2.11,0.57,7.7
120,0,0,0,34.46,65.84,0,32.46,5.56,1.5,0,26.63,4.41,0,0,5.34,6.91,1.43,3.15,89.04,2.91,0,2.99,124.25,1.81,7.53,27.5,0,16.12,0,1.13,6.8,5.71,0,6.61,9.78,6.04,0
