stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,3.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0
 14-21,0,0,1.12,0,0,0,0,0,0,0,0,1.83,10.4,0,0,1.92,0,1.89,0.84,0,0
 24-34,0,1.42,6.06,0,0,0,0,0.66,0,8.09,0,1.79,41.72,0,0,0,0.84,0.62,5.35,0,0
 36-46,0,13.83,18.98,0,0,0,0,0,5.58,3.07,0,3.24,22.99,0,0,0,0,0,5.18,0,0
 48-58,0,7.04,10.29,0,3.12,0.91,0,0,0,0.48,0,0.67,41.59,0.47,0,0,0,0,4.84,0.61,0
 60-70,0,0,0.58,0,0.83,0,0,0,0,1.81,0,3.31,18,0,0,0,0,0,0.67,0,0
 72-82,0,0,4.55,0,0,1.38,0,0,0,2.31,0,0,11.78,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.62,0,0,0.67,0,0.8,0,0,17.62,0,0,0,0,0,0,0,0
 96-106,0,0.57,7.66,0,0,0,0,0,0,3.04,0,0,11.73,0,0,0,0,0,0,0,0.88
108-118,0,0.45,1.49,0,3.81,0,2.13,0,0,2.85,0.98,2.93,3.59,0,0,0,0,0,0,0,0
120,0,5.44,5.05,7.41,6.92,0,0,0,0,12.19,0,0,12.71,0,0,0,0,0,0,0,0
