stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.02,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,11.1,1.62,0,0,16.02,0,1.91,0.8,1.81,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.97,2.1,0,0,3.68,23.51,0.63,0,0,3.47,0,0,0,6.33,0,0,0
 36-46,0.66,0,8.2,0,0,0,0,0,0,0,0,0.57,0,0,0.68,21.88,0,0,0,15.94,0.59,0,0,17.65,0,0,0
 48-58,0.63,0,27.23,0,0.37,2,0,0,0,0,0,3.76,0,0,0,31,0,0.92,0.68,2.06,0,0,0,7.32,0,0,0
 60-70,0.7,0,53.01,0.58,0,5.15,0,0,0,0,0,4.69,0,0,0,31.02,0,0,0,4.92,0,0,0,11.25,0,0,11.22
 72-82,0,0,28.12,0,0,5,0,0,0,0,0,2.65,0.58,0,0,48.26,0,0,0,0,0,0,0,4.07,0.94,0,0
 84-94,0,0,30.19,0,1.69,1.79,0,2.66,1.01,2.1,0,7.86,1.42,0,0,35.8,0,0,0,4.14,0,0,0,6.97,0,0.59,0
 96-106,0,0,25.23,0,0,8.64,0,0,0.62,0,0,8.19,0,1.7,0,19.25,0,0,0,2.5,0,0,0,1.86,0,0,0
108-118,0.6,1.55,18.89,0,0,0.47,0,0,0,0,0,8.46,4.21,0,0.49,31.86,0,0,0.96,2.25,0,0,0,0,0,0,0
120,15.08,0,0,0,0,1.62,6.22,0,0,0,0,12.54,0,0,0,95.8,0,0,0,2.95,0,0,0,0,0,0,0
