stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,197.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.72,338.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,23.8,9.07,0,0,0,0,0,0
  7-9,15.31,18.02,29.01,0,0,4.22,0,0,15.53,0,0,0,0,0,0,0,0,450.84,56.3,0,471.14,0,0,0,0,0,0,0
 10-12,0,12.2,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.9,16.76,0,195.16,0,0,14.26,0,0,0,0
 14-21,0,0,0,0,0,1.65,0,2.37,0,0,0,0,0,0,0,0.96,0,12.06,0,0,3.32,0,28.93,0,0,23.01,9.05,0
 24-34,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,3.78,0,0.98,10.12,0,2.33,0,5.41,0,0,0,0.62,2.97,0
 36-46,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,5.16,0
 48-58,0,0,0,0,0,0.75,0,0.56,0,0,0,0,0,0,0,0.63,0,4.49,0.5,0,0,0,0,0,0,0,0.43,0
 60-70,0,0,0,8.58,0,4.73,0,1.5,0,0,0,0,0,0,0,4.42,0,35.29,0,0,0,1.94,0,0,0,0,0,0
 72-82,0,0,0,0,1.07,7.64,0,1.2,0,0,0,0.9,0,0,0,6.55,0,6.84,0,0,0,0,0,0,0,0,4.28,0
 84-94,0,0,0,0.65,0,6.37,0,2.16,0,0,0.58,0,0,0,0,4.16,0,1.28,0,0,0,6.7,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.3,0,3.35,0,0.91,0,0,0,0,0,1.36,0,9.52,0,0,0,2.92,0,0,0,0,0,1.49
108-118,0,0,0,0,0,3.3,1.04,3.47,0,0.95,0,0,0.89,1.52,0,10.37,0.6,9.1,0,0,0,0,0,0,0.98,0,0,0.85
120,0,0,0,0,0,0,0,4.67,0,0,0,1.74,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0
