stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,otic,periderm,spinal.cord,taste,vasculature
  3-4,27.43,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,40.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0
 14-21,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0
 24-34,0,0,0,1.68,0,0,0,0,5.64,0,0,0,0,9.16,0,0,0,2.95,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,35.43,0,0,0,6.72,0,0
 48-58,0,0,0,0,12.62,0,0,0,0.64,0,1.57,0,0,61.33,0,0,0,10.76,0,0
 60-70,0,0,3.67,0,85.99,0,0,0.79,0,0,0,0,0,169.13,0,0,0,40.04,0,0
 72-82,0,0,0,0,330.42,0,0,2.15,0,0,4.67,0,0,320.63,0,0,0,25.87,0,0
 84-94,0,0,0,0,316.2,0,0,5.18,0,0,1.21,0,0,302.39,0,0.69,2.48,50.9,0,0
 96-106,0,0,2.07,0,465.81,0,0,6.88,0,0,1.41,0.76,0,322.75,0,0.6,0,38.74,0,0
108-118,0,0,2.96,0,430.84,1.16,0.48,4.62,0,3.54,4.77,0,0,283.63,0,1.32,0,13.79,0.68,0.71
120,0,0,0,0,268.33,2.29,0,26.37,0,0,17.4,0,9.54,576.2,1.38,0,0,59.81,0,0
