stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,7.66,1,0,0,0,0,0,3.37,0,1.28,1.26,6.56,0,0,0,0,0
 24-34,0,0.96,4.59,0,1.31,0.91,0,0,5.41,0.73,0,0,0,0,0,6.01,3.61,0,0,0.64,135.05,0,0,1.75,0,0,0,0,0,0,0,31.23,0,0,7.88,0,0
 36-46,0,0,2.61,0,1.63,0,0,0,19.12,1.04,0,0,0,0,0,0.83,17.55,0,0,0,344.32,0,1.29,0,0,0,0,0,0,0,0,92.28,0,0,0,0,0
 48-58,0,0,3.12,1.88,33.48,0,2.52,0,16.5,8.58,0,0,0,0,0,1.93,38.96,0,1.1,0,316.72,0,2.1,0,0,0,0.38,0,1.52,0,0,44.39,0,0,2.13,0,0
 60-70,0,0.89,1.32,0,107.07,0,0,0,48.2,25.26,0,0,0,1.71,0,6.76,70.48,0,1.64,0.59,510.7,0,1.17,1.49,0,0,0,0,0,0,0,38.63,0,0,0,0.72,0
 72-82,0,1.18,7.17,0,276.99,0,0,0,60.4,176.63,0,0,0,4.97,0,1.14,141.5,0,0.93,2.87,782.41,0,0,0.61,0,0,3.97,0,0.64,0,0,17.21,0,0,2.3,0,2.09
 84-94,0,0,6.15,1.98,168.72,0,0.71,0,28.28,311.13,0.7,1.58,0,0,0,0.69,83.75,0,0,2.59,503.4,0,2.3,3.85,0,3.75,5.66,0,0,0,0,21.67,0,2.76,0,0.63,0
 96-106,0,10.79,12.89,35.59,207.72,1.64,2.79,3.93,37.52,1595.54,0.92,0,0.63,7.03,1.7,43.88,144.57,1.13,3.45,2.86,659.39,0,0.73,1.37,0,0,29.62,0,0,0,0,14.55,1.66,1.27,5.63,1.9,5.75
108-118,0,4.45,16.96,12.56,228.78,0.42,10.21,0.5,40.36,3225.4,0,1.86,0.49,1.31,0,11.71,131.07,1.4,7.09,2.92,859.06,0,0,3.01,0,4.16,8.31,0,0.42,0,0,11.65,4.34,0,2.01,0,0
120,2.37,10.15,23.19,4.21,182.91,0,17.75,0,73.73,2252.56,0,6.94,0,0,0,44.55,117.62,1.59,0,7,1037.13,0,0,9.05,0,0,8.38,0,0,0,0,8.45,0,0,4.33,0,1.1
