stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,16.16,3.5,0,0,0,0,1.73,0,0,0,4.51,5.57,3.7,48.24,0,2.85,106.8,5.6,64.82,4.89,0,3.1,0
 24-34,0,0,0,1.18,0,0,0,0,0,0.72,0.6,1.36,0.61,12.01,0,0,0,0,0.96,1.46,1.29,0,0.8,0
 36-46,0,0.86,0,0.88,11.22,0,0,0,0,0,0,1.46,0,10.17,0,0,5.6,0,0,0,0.66,0,0,0
 48-58,0,0,0,9.88,0,0,0,0,0,0,0,1.24,0,29.03,0.39,0,4.08,0,0,0,0.87,0,0,0
 60-70,0,1.5,0,53.37,0,0,0,0,0,0,0,0.67,0,136.64,0.64,0,0,0,0,0,0,0,0,1.17
 72-82,0.75,0,0,71.7,0,0,0.59,0,0.66,0,2.2,2.88,0.66,138.64,0.58,0.54,0,0,0,0,1.19,0,0,0
 84-94,0,0,0,60.75,0,0,2.32,0,0,0,0,1.63,2.18,144.52,2.4,0,0.75,0,0,0,1.93,1.91,0,0
 96-106,0,0,0,48.62,0,0,0,0,0,0,0,8.14,0.76,202.45,1.37,0,1.71,0,0,0,0,0,0,0
108-118,0,1.42,0,29.62,0,0.74,0,0,0,0,0,8.38,0,186.69,1.04,0,6.22,0,0,0,0.55,0,0,0
120,0,0,0,59.95,0,19.12,4.12,0,0,0,0,0,0,247.18,3.13,0,0,0,0,0,0,0,0,0
