stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  3-4,45.18,34.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,35.72,0,19.61,0,0,0
 10-12,0,3.1,0,0,0,0,0,0,0,0,98.81,0,13.72,5.61,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,6.35,0
 24-34,0,0,0,0,0,0,0.62,0,1.95,0,1.46,3.17,0,0,0,0.66
 36-46,0,0,4.04,0,1.18,0,0,0,0,0,3.5,0.73,0,0,2.96,0
 48-58,0,0,0,0,0,0,0,0,1.26,0,7.61,1.74,0,0,0,4.07
 60-70,0,0,0,0,0,1.83,0,0,0,0,2.58,1.47,0,0,0,0
 72-82,0,0,0,3.38,0,0,0.83,0,0,0,5.7,16.38,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.17,1.09,21.57,16.28,0,0,0,0
108-118,0,0,0,1.22,0,0,2.04,0,0,0,13.28,14.39,0,0,0,0
120,0,0,0,0,0,0,0,6.37,0,0,4.01,22.16,0,0,0,0
