stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,13.43,0,0,5.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.91,0,0,8.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0.82,15.85,0,0,1,0,0,0,0.93,0.94,0.91,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.76,3.2,6.34,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.89,0,0,0,0,0,5.79,0,5.62,0,0,0,0,0,0,0,3.87,1.06,0
 48-58,0,0,0,0.9,0,0,4.22,0,0,0.55,0,0,1.85,1.22,1.7,0,0,0,0,0,0,0,1.46,0.45,2.66
 60-70,0,0,0,0,0,0,2.66,0,0,0,0,0,3.28,1.01,6.73,0,0.63,0,3.99,0,0,0,0,0,0
 72-82,0,0,0,0.55,0,0,4.02,0.72,0,0,0,0,5.53,0.79,3.96,0,0,0,0,0,0,0,1.25,1.78,0
 84-94,0,0,7.1,2.73,0,0,11.19,0,0,0,1.88,0.57,4.1,0.61,4.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,5.61,0,0,0,0.81,9.87,0,0,0,0,0,21.26,0,2.77,0,1.28,0,8.76,0,0,0,0,1.73,5.14
108-118,0,0.44,0.96,7.09,0.42,0,13.41,0,0.51,0,0,0,11.53,0,6.47,0.87,0.44,0,0,0,0.5,0,0,3.57,0
120,0,0,10.24,0,0,0,15.05,0,0,1.65,0,0,3.84,0,29.35,0,0,0,0,3.93,0,0,0,24.1,0
