stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,53.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,97.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,7.11,0,0,0,0,0,0,0,0,0
  7-9,22.28,7.5,0,6.79,0,0,0,6.47,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,47.8,44.71,0,0,192.55,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,27.28,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.24,89.95,0,0,317.42,0,0,28.7,0,20.16,0,0,0,0
 14-21,0,0,0,10.47,4.23,2.44,0,2.83,0,0,0,0,1.08,0,0,0,0,0,0,0,6.49,0,0,25.72,49.97,0,0,0,0,0,39.91,0,10.29,215.19,14.16,0,0,0
 24-34,0,0,0,1.44,1.35,0,0,15.77,0.91,0,0.83,1.11,0.85,0,0,0,0.62,0,1.31,0,12.25,0,0.91,15.88,129.94,0,1.85,2.79,0,14.64,0,0.7,3.16,19.8,28.62,0,1.74,0
 36-46,0,0,0,0,4.86,0,0,23.74,4.42,0.74,0,2.02,0,0,0,0,0,0,0,0,20.39,0,0,3.64,91.91,0,0,0,0,2.6,0,0,3.87,0,15.9,0,0.58,0
 48-58,0,0,0,0,3.69,0,0,31.08,0,0,1.34,8.76,0,0,0,0,2.63,0,0,0,15.15,0,0,3.91,68.27,0,0.43,0.87,0,5.05,0,0,0,0,14.41,0,0,0
 60-70,0,0,0,0,10.11,3.14,0,26.79,0,0,0,8.87,0,0,0,0,0,3.83,0,0,18.25,0,0,2.69,57.48,2.21,0,0,0,2.33,0,0,0,0,3.65,0,5.85,0
 72-82,0,0,0.68,0,3.55,0,0,42.63,1.29,0,0,9.78,0.64,0,1.41,2.22,0,0,0,0,21.35,0.52,1.12,6.33,71.87,0,1.95,0,0,1.47,0,0,0,0,6.32,0.78,4.01,0
 84-94,0,0,0,0,3.57,0,0,16.16,0,1.36,0,2.25,2.23,0,0,0,0,0,0.66,0,10.74,2.43,0.57,0,27.7,0,0,0,0,0,0,0,0,0,13.37,0,0,0.69
 96-106,0,0,0,0,0,0,0,3.31,0,0,0,10.22,1.85,0,0,0,0,0,0,0.61,9.6,0,0,2.32,37.72,0,0.93,0,0,5.02,0,0,0,0,0,0,0,4.01
108-118,0,0,0,0,0.49,0,1.04,9.04,0.64,0,1.03,8.55,4.29,0,0,1.47,0,0,0,0,23.53,0,0,4.94,17.32,0,1.6,0.45,0,1.55,0,0.42,0,0,0,2.08,0,0
120,0,0,0,0,10.45,1.38,0,0,0,0,0,4.67,0,0,0,12.38,0,0,0,0,11.71,0,0,1.71,99.95,4.62,0,0,0,0,0,2.61,0,0,0,0,6.1,0
