stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,24.35,0,0,0,0,0,0,0,0,0,67.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,18.29,0,0,784.6,0,0,0,0,142.23,0,0,0,0,0,2.25,0,0,0,698.63,6.61,0,17.87,0,3.28,0,5.48,1.69,1.83,4.71,25.77,0,0,0,0,0
 24-34,0,2.5,0,4,0,0,734.3,0,0,2.13,0,1.41,0,0,0,2.19,0,6.73,0,0,2.93,382.41,1.32,0,125.3,0,3.66,0,0,0,0,0,25.86,0,0,0.6,0,0
 36-46,0,0,0,5.5,0,0,530.83,0,0,29.98,0,0,3.99,0,0.71,1.99,0,10.15,0,0,2.05,468.36,0,0,206.13,0,0.97,0.81,18.2,0,0,0,21.55,0,0,0,0,0
 48-58,0,0,0,6.21,0,0,385.98,0,0,41.96,0,0,0,2.42,0,3.78,0.46,4.28,0,1.23,5.49,251.18,0,0,299.46,0,2.12,0,0,0,0,0,15.42,0,0,0.9,0,0
 60-70,0,0,0,12.06,0,0,208.19,0,0,14.98,0,0,0,0,0,5.19,0,5.72,0,0,0,205.45,6.71,0,300.92,0,0,0,0,0,0,0,17.51,0,0,0,2.44,1.88
 72-82,0,0,0,23.64,0,0,295.3,0,0,49.9,0,0,3.67,0.55,41.84,29.3,0,34.56,0,1.4,0,254.96,0,0,541.63,0,3.36,0,0,0,0,0,14.04,4.86,0,7.01,19.64,0
 84-94,0,0,0,61.38,1.84,0,232.77,1.09,0,16.53,0,0,0,0,14.9,14.07,0,19.27,0,7.23,0,142.57,0,0,575.67,0,2.57,0,0,0,0,0,13.84,32.96,0,0,0,0
 96-106,0,0,0.87,196.03,2.39,0.84,138.63,12.23,0,111.26,2.29,0,0,6.36,8.29,53.76,0,34.89,0.71,1.36,9.14,109.05,0,2.47,782.29,0,9.61,0,0,0,0,0,58.25,39.49,1.64,3.9,0,0
108-118,0.66,0,0,176.92,2.08,0.43,126,3.27,2.57,58.74,3.36,0,0,5.45,27.41,24.85,0,31.17,3.9,0,0.45,354.85,0,0,742.57,0,6.11,0.42,0,0,0,0,38.47,36.56,3.18,6.1,0,0
120,0,0,0,41.24,0,0,101.18,0,0,5.62,1.19,0,0,2.78,8,9.92,0,60.4,0,19.96,0,249.62,0,0,466.41,0,0,0,0,0,0,0,9.27,5.04,0,0,0,0
