stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,6,0,0
 14-21,0,0.95,0.88,0,0,0,0,0,0,0,1.09,2.82,0,0,0,2.38,6.88
 24-34,0,0.92,0,0.93,0,0,0,0,0,0,0,17.07,0,0,0,2.13,3.57
 36-46,0,0,0,5.7,1.56,0,0,0,0.86,0,0,15.48,3,0,0,0,7.22
 48-58,0,7.87,0,4.54,1.53,0,0,0,0,0,0.63,19.09,0,0,0,0,2.4
 60-70,0,0.61,0,2.04,1.25,0,0,0,0,0,0,16.16,0,4.56,0,0,2.18
 72-82,0,0,0,3.93,1.74,0.64,0,0,0.65,0,0,13.19,0,0,0,3.89,1.29
 84-94,0,0,0,0,0.69,0,0,0,0.92,2.67,0,2.14,0,0,0,1.74,0
 96-106,0,1.25,0,2.36,0,0,0,0,0.99,0,0,9.75,0,0,0,0,0
108-118,0,0.46,0,4.04,0,0,1.36,0.64,0,0,0,8.56,0,0,0,0,0
120,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0
