stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,203.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,0,136.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.86,25.03,0,11.49,0,0,0,122.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.85,23.07,0,0,161.27,0,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,0,68.32,0,91.88,0,11.52,0,159.99,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,2698.11,74.14,0,0,866.14,0,0,0,9.31,67.85,17.09,20.85,0,0,0,0,0
 14-21,0,0,0,3.44,45.93,7,0,9.95,0,0.82,0,16.71,4.66,0,0,0,0,0,0,0,0,11.32,0,9.28,325.83,3.19,0,3.85,5.29,0,0,0,23.23,0.87,78.08,145.61,0,0,1.1,0,0
 24-34,0,0,1.5,3.87,21.32,0,0,53.31,0,1.93,0,25.59,2.3,0,0.98,0,1.32,0,4.16,1.72,2.97,23.06,0,10.92,740.72,1.78,1.37,4.63,0,0,2.4,0,0,0.74,8.89,176.92,0,0,0,0,0
 36-46,0,0,0,0.63,5.04,0,0,269.22,0,2.05,2.85,66.25,1.28,0,0,0,0,0,5.39,0.66,0,19.37,0.72,12.6,1042.21,0,0.63,4.3,0,0,8.19,0,0,0.88,0,242.11,0,0,0.64,0,0
 48-58,0,0,0,0.5,1.97,0,0,863.84,0,1.45,0.38,74.33,0,0,1.05,0,0,0.54,0,0.39,0,37.45,1.78,7.61,734.01,0,0,6.7,0,0.56,0,0,0,9.22,0,144.43,0,0,0,0,0
 60-70,0,0,0,2.79,22.99,0,0,1531.33,0,2.47,0.84,70.33,2.28,0,0,0,0,9.66,4.73,0,0,18.85,7.24,0,366.74,2.62,0,4.81,0,0,13.37,0,0,0,0,92.14,0,0.63,0,0,9.9
 72-82,0,0,0.64,0,7.33,0,0,589.18,0.49,0.64,5.77,42.44,0.49,0,2.14,0,0,0,5.03,0,0,14.36,1.95,1.58,152.3,0,0,3.33,0,0,0,0,0,1.04,0,38.15,0,0,2.76,0,0
 84-94,0,0,1.42,0,9.85,0.56,0,535.55,0,11.11,3.15,63.64,6.25,0,0,0,0.69,1.22,2.43,2.07,0,13.81,0,2.85,234.24,0,0.76,5.42,0,0,1.83,0,0,2.8,0,26.84,0,1.13,1.18,0,0.69
 96-106,0,0,1.41,1.03,3.54,0,0,355.47,0,3.32,0,36.2,2.57,0,0.91,0,0,1.72,2.69,1.22,0,13.01,0,1.14,134.39,0,0.61,2.74,0,0,0,0,0,1.46,0,8.67,0,1.01,0.68,1.84,0
108-118,0,0,1.75,0,6.31,0,6.86,320.4,0,0,0.94,39.79,1.2,0,0,1.03,0.44,7.71,0,2.23,0,25.2,0,7.33,150.52,0.76,0.43,11.93,0,0,1.81,0,0,2.81,0,6.59,0.63,0,0.77,1.61,0
120,0,0,0,0,16.17,10.24,0,232.3,0,3.17,4.78,68.85,5.52,0,0,0,0,0,10.6,0,0,6.37,2.22,1.49,156.9,0,4.48,4.56,0,0,5.52,0,0,6.92,0,6.47,1.19,0,0,0,0
