stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,314.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0
  5-6,39.99,210.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,6.23,0,39.41,0,0,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.49,11.66,0,0,106.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.95,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.07,12.18,0,0,67.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.27,0,1.79,0,0,0,0.83,0,2.74,0,0,0,0,0,0,5.26,0,2.2,31.45,0,0,0,2.14,0,0,5.82,0,0,9.75,11.05,0,0,0
 24-34,0,0,0,0,1.92,0,14.83,0,0,0,3.17,0,0,0,0,0,0,0,0,3.22,0,1.94,70.83,0.7,0,0,0,0,0.72,0,0,1.99,1.66,19.25,0,0,0
 36-46,0,0,0,0,0.89,0,4.13,0,0,0,2.69,0.56,0,0,0,0,0,0,1.46,4.72,0.56,8.31,23.46,0,6.65,7.86,0,0,2.03,0,0.6,0,0,3.21,0.55,0,0
 48-58,0,0,0,0,2.32,0,10.23,0,0,0.45,7.9,0,0.85,0,0,0,0.39,0,0.58,10.71,1.2,1.49,30.73,0,0,0,0,0,5.96,0,0,0,0,7.38,0,0,0.67
 60-70,0,0,0,0,0.58,0,7.21,1.3,0,0,3.77,0,0,0,0,0,0,0,0,4.42,0,0,8.6,0,0.96,0,0,0,0,0,0,1.34,0,1.27,0,0,3.85
 72-82,0,0,0.61,0,0,0,3.74,1.48,0,0,9.39,0,0,0,3.98,0,0,0,0,13.72,0,3,23.66,0,0,0,0,0,0,0,0.97,0,0,1.23,0,0,0
 84-94,0,0,0,0,0,4.94,5.8,0,0,0.69,5.36,0,0,1.63,0,0,0,0,0.96,12.05,0,1.54,9.8,0.94,0,0,0,0,6.84,0,0,0,0,11.87,2.58,2.61,2.43
 96-106,0,0,0,0,3.27,9.18,2.8,0,0,0,5.93,0,0,0,0,0.91,1.31,0,0,18.02,0,1.72,3.37,0,0.56,1.57,0,3.05,2.89,0,0,0,0,0,2.73,0,1.24
108-118,0,0,0,0,0,0,0,0.58,0,0.99,23.92,0,0,0,0,2.92,0,3.09,0.47,15,2.46,0.51,8.8,1.7,0,0,0,0,4.95,0,0,0,0,0,3.67,1.02,3.99
120,0,0,0,0,5.2,0,4.84,0,3.08,0,15.97,1.17,0,0,0,0,0,2.18,0,13.07,0,1.05,23.13,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0
