stage,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,mesenchyme,mural_cell,neural,notochord,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,31.1,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.59,0,0,0,1.97,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,2.09
 36-46,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0
 48-58,0,0,2.17,0.89,0,0.54,0,3.09,0,4.73,0,0,0,0,0,0
 60-70,0,0.67,0.93,0,0,1.41,0,5.73,0,8.35,0,0,0,0,0,0.73
 72-82,0,1.75,0,0.6,0,0.98,0,4.21,0,0,0,0,0,0,0.94,0
 84-94,0,0,0,0,0,0.65,0,3.28,2.67,1.81,0,0,0,0,0,0.62
 96-106,0,0.72,1.18,0,0,2.69,0,2.51,0,5.09,0,0,0,0,0,1.16
108-118,0,0,0,0,0.43,3.37,0.86,0.72,0,1.88,0,2.35,0.41,0,0,1.02
120,1.81,0,0,0,0,13.52,0,2.45,0,0,0,0,12.88,0,0,5.81
