stage,blastomeres,epidermis,fin_epithelia,glial,immune,ionocyte,mesenchyme,neural,periderm,slow_muscle,spinal_cord
  3-4,14.23,0,0,0,0,0,0,0,0,0,0
  5-6,11.33,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.47,0,0,0
 14-21,0,0,0,0.87,0,0,0,0.81,0,0,0
 24-34,0,1.64,0,1.05,0,0,0,1.03,0,0,1.45
 36-46,0,0,0,0,0,0,0,1.24,0,1.56,0
 48-58,0,2.9,0,0,0.57,0,0,4.05,0,0,0
 60-70,0,7.46,1.82,0,0,0,0.71,0,0,0,0
 72-82,0,2.33,2.6,1.79,0,0,1.25,2.75,0,0,0
 84-94,0,9.75,2.57,0,0,0,0,0,0,0,0
 96-106,0,9.28,6.2,0,0,0,0,0,0,0,0
108-118,0,23.53,0.48,1.17,0,0.44,1.04,1.96,0,0,0
120,0,62.17,3.1,0,1.25,0,0,8.38,4.77,0,0
