stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.41,362.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42,0,0,0,0,0,0,0,0,0
  5-6,0,250.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,18.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.87,3.28,0,0,25.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.67,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,2.68,0,0,6.39,0.83,1.06,0,0,0,0,2.7,1.08,5.36,1.44,5.97,0,0,1.93,0,0
 24-34,0,0,0.84,2.47,0,0,0,0,0,0,0.92,0,2.95,0,0,0.63,0,0,0,0,8.83,0,0,5.06,5.14,0.67,2.47,0,0,0,10.55,0,2.97,0.87,1.75,0,0,3.84,0,0
 36-46,0,0,0,3.46,1.41,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,12.63,0.95,0,2.59,56.01,0,5.48,0,0,0,12.3,0,0,0,3.8,0,0,6.73,0,0
 48-58,0,0,0,0,4.24,0,0.68,0,6.45,0.57,0.77,0,0.97,1.23,0,5.69,0,0,0,0,10.51,2.38,1.11,1.04,74.17,0,2.12,0,0,1.46,16.34,0,0.86,0,3.05,0,0,3.39,0,0.48
 60-70,0,0,0,7.11,7.42,0,14.32,0,0,14.44,26.96,0,2.2,1.64,0,0.58,0.77,1.93,0,0,17.68,1.72,0,1.09,109.99,0,5.06,0,0,0,5.34,0,0,0,3.75,0,0,3.92,0,0.69
 72-82,0,0,0,3.58,187.12,0,17.08,4.55,0,2.85,29.85,1.95,0.6,0,2.41,0,4.27,6.51,0,0,46.18,3.92,2.31,0,158.14,0,5.97,0,0,0,10.34,0,1.03,0,4.84,2.32,1.01,2.87,0,0
 84-94,0,0,0,10.51,207.95,0,29.86,0,0,1.59,23.6,9.01,1.82,0,0,0,9.96,0,1.13,0,66.41,4.68,0.98,3.53,149.7,3.31,2.92,3.84,0,0,25.99,0,3.75,0,7.03,4.99,2.78,0.84,0,0
 96-106,0,0,0.99,6.02,279.9,1.07,31.82,0,0.71,1.63,33.96,12.02,0,3.03,1.27,0.65,0,4.73,5.87,0,59.2,2.45,0.62,1.12,153.94,0.81,12.75,5.41,0,5.34,20.42,0,0,0,5.74,0.82,7.25,5.29,2.35,0
108-118,0,0,0,18.86,109.14,13.25,58.71,0,3.85,0.96,42.11,8.42,0,2.04,0.68,1.39,3.75,0,0.67,5.3,41.73,18.42,3.81,5.51,185.87,2.54,2.49,0,0,1.73,13,0,1.72,0,0,4.52,1.87,4.17,4.85,2.24
120,0,0,0,22.49,114.35,0,87.43,1.1,7.36,0,96.38,5.18,0,6.72,1.88,1.06,0,7.09,0,0,64.23,3.86,5.31,13.25,355.84,0,2.97,0,0,0,16.5,0,9.16,0,0,0,5.53,9.78,5.58,0
