stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0
 14-21,0.96,0,0,0,0,0,0,0,0,1.27,0,0,0,0,1.57,1.46,0,0,0
 24-34,0,0,0,0.77,0,0,0.85,1.47,0,0.83,0,0,12.34,0,0,0,0,0,0
 36-46,0,0,0,1.45,0,0,0,3.54,0,5.97,0,1.52,3.3,0,0,0,0,0,0
 48-58,0,0,0,0,0.42,0,0,2.36,0,1.91,0.49,0.48,7.91,0,0,1.55,0,0,0
 60-70,0,0,0,6.9,4.18,0,0,0,0,3.47,5.46,0,11.59,3.14,6.32,0,0,0,0
 72-82,0,1.03,0,9.36,0,0,0,0.58,0,0.95,1.19,0,14.27,0,0,9.95,0,3.24,13.86
 84-94,0,0,4.59,7.57,0,0,0,3.36,0.58,1.19,4.27,0,8.38,0,0,0,0,3.13,12.69
 96-106,0,0,0,0,0,0,0,5.32,0,0,4.82,0,17.79,0,0,0,0,2.45,0
108-118,0,1.81,0,0,3,0,0,14.39,0,14.96,9.07,0,7.59,1.82,0,1.13,1.33,0,1.57
120,0,1.07,0,0,0,8.33,0,2.68,0,0,2.47,0,36.73,0,1.34,0,2.39,2.68,1.43
