stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,42.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,0,0,11.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.64,0,0,0.83,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,7.2,35.3,0,0,0,0,0,2.77,20.79,0,0,0,0
 24-34,0,0,0.96,1.83,0,0,6.62,0,2.1,4.21,0.67,0,1.44,0,2.32,0,0,1.1,0,3.08,0,0,0.81,211.26,9.67,1.61,0,0,0,0.63,44.76,0,0,4.84,0
 36-46,0,0,0,0.91,0,0,20.96,0,5.32,9.48,0,0,0.93,0,0,0,0.79,0,3.56,3.4,0,0.85,1.27,294.01,12.57,1.56,0,7.84,0,0,89.19,0,0,0,0
 48-58,0,0,0,6.18,0,0,50.43,0.81,0,45.44,0,0.75,0,0,0,0,0,0,0,4.94,0,4.89,1.56,424.18,9.3,0,0,3.32,0.46,0,75.98,0,0,2.98,0.48
 60-70,0,0,0,8.09,0,0,161.85,3.45,0.68,43.56,2.66,2.98,0,3.84,0.86,0.85,4.09,1.78,0,17.24,0,0,0,533.66,7.9,4.19,0,0,0,0,91.64,2.13,0,1.49,13.74
 72-82,0,0,0,1.86,3.59,0,166.36,0.59,0,42.16,1.33,0,2.74,0,0,0,0,0,0,30.65,0,2.15,0,556.06,5.87,0.83,0,0,0,0,75.57,0.56,1.33,0,9.7
 84-94,0.62,0,0,1.52,3.52,0,173.93,0,0,34.16,3.9,4.41,0,0,0,0,0,0,0,19.85,0,12.31,2.2,337.67,10.26,0.92,0,0,0,0,35.1,1.21,1.79,0,0
 96-106,0,0,1.1,0,0,0,111.42,0,0.57,34.89,1.51,0,0,1.53,0,0,1.55,0,0,7.49,1.49,0,1.35,340.06,6.55,2.91,0,2.11,0.82,0,15.79,0,0,5.85,0
108-118,0,0,1.57,4.69,0.6,1.84,159.87,0,0.95,31.78,1.56,0,0,2,0,0,2.07,0.45,0,16.82,4.6,0,1.48,365.62,5.89,5.03,0,0.61,0,0,9.62,0,0,0,1.37
120,0,0,0,3.28,0,15.5,180.37,1.01,0,77.96,1.33,0,0,0,0,0,4.83,0,0,10.75,0,0,0,601.99,9.49,3.63,0,0,0,0,37.16,0,0,0,0
