stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,299.43,6195.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,194.83,3258.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.28,0,0,0,6.91,0,36.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,40.26,40.06,0,0,53.12,0,0,0,0,0,18.64,0,0,0,0,0,0,0,0,0,0,0,580.38,33.98,0,0,131.04,0,14,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.81,30.73,0,0,32.51,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,354.42,136.19,0,0,166.81,0,10.72,11.11,0,30.89,0,0,0,0,0,0,0,0
 14-21,0,0,2.77,105.36,15.13,20.34,0,0.82,0,1.38,2.31,0,2.44,1.8,1.9,0.87,0,2.66,13.77,41.25,0,0,32.38,99.77,47.27,0,0,1.06,0,28.29,0,6.33,4.09,0,4.52,27.32,0,0,36.09,0,34.44
 24-34,0,0,0.83,57.41,3.01,61.14,0,3.33,1.24,4.69,2.59,0,10.06,10.06,1.6,5.41,1.23,14.84,60.76,135.31,0,0,62.15,201.66,10.33,0,4.81,0,0,85.71,0,0,5.75,0,4.15,23.5,0,0,176.54,0,173.3
 36-46,0,0,0,26.3,0.91,69.86,1.42,5.04,8.41,7.13,1.62,0,0.67,30.66,0,4.09,2.84,0,64.88,112.53,0,3.39,31.16,88.35,6.64,0.59,0,0,0,118.14,0,1.63,0,0,0,9.13,0,0,66.7,0,195.93
 48-58,0,0,0,24.33,0,93.03,0.68,8.49,13.61,23.31,0,0.57,8.26,6.53,0.49,21.38,0.89,4.43,78,132.76,0,1.66,27.86,82.53,1.38,0,2.79,0,0,72.4,0,0,5.55,0,0,16.39,0,0.4,44.13,0,362.32
 60-70,0,0,0,20.7,0,124.61,0,16.76,8.11,83.79,1.05,0,3.04,19.58,3.1,27.52,0,0,50.7,196.34,0.9,7.93,21.24,61.02,3.11,0,6.19,0,0.71,54.84,0,0,0,0,0,16.72,0,2.02,39.6,2.5,271.14
 72-82,0,0,0,20.98,3.83,67.24,1.66,3.65,7.41,79.03,5.34,0.59,4.58,16.36,7.53,38.65,2.6,2.72,40.88,245.45,0.59,7.67,17.49,40.13,3.83,0,5.47,0,3.65,39.72,0,0,1.13,0,0,8.31,1.35,5.63,76.01,4.41,273.07
 84-94,0,0,0,48.41,9.8,117.28,2.32,16.91,3.98,81.42,4.77,0,0,39.74,11.68,37.16,1.13,0,29.39,166.58,4.73,10.45,15.98,21.25,1.19,1.32,7.76,0,1.31,151.97,0,0,1.41,0,0,3.46,4.03,6.96,62.71,4.21,115.31
 96-106,0,0,0,34.8,5.33,110.61,0.68,6.02,5.6,102.71,5.48,0,6.91,22.09,3.4,22.38,2.16,7.08,28.23,196.66,0,4.67,5.16,29.87,0.79,1.45,3.62,0,13.75,100.94,0,0,1.35,0,0,7.51,2.19,5.1,52.76,5.25,131.62
108-118,0,0,0,45.39,5.75,99.35,0,15.8,17.1,119.86,5.99,0,2.69,17.54,12.36,31.97,0.43,4.78,41.93,179.49,0.7,9.3,8.6,50.14,2.41,2.88,3.53,0,7.76,77.05,0,0,1.03,0.49,0,5.59,1.6,0.57,60.29,8.87,92.87
120,0,0,1.66,67.75,1.51,64.72,1.58,11.91,18.63,164.9,9.34,0,4.89,54.75,2.78,15.53,2.19,17.76,26.71,158.99,0,10.77,7.36,25.09,6.22,0,1.47,0,2.63,82.38,0,0,1.56,0,0,3.71,13.44,0,90.27,27.74,59.08
