stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,64.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,53.17,12.46,0,0,22.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.87,0,0,0,14.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.87,9.73,0,0,9.01,0,0,0,0,0,0,0,4.33,0,10.38,0,2.78,54.24,0,0,1.2,1.09,0,11.4,0.94,0,9.58,26.06,0,0,0,0,0
 24-34,0,0,0,5.2,8.27,0,0,31.95,0,1.71,0.85,0,0,0,0,0,0.78,2.21,0,0.61,53.56,0,1.43,3.07,0,2.39,0,0,0,1.33,15.14,0,0,0,0,40.13
 36-46,0,0,0,0.96,6.97,0,0,1326.3,2.57,9.24,0,0,1.29,0,0,0,0,4.52,0,1.42,115.75,0,0,3.08,0,1.1,0,0,0,0,12.69,0,0,0,0,4.65
 48-58,0,0,0.4,0,2.55,0,0,2348.91,0,39.97,0,0,0,0,7.02,0,0,9.01,0.45,6.33,197.84,0,0,0,0,0.5,0,0,0,0,14.35,0,0,0,0,4.08
 60-70,0,0,0,0,3.87,0,0,1729.44,0,305.04,0,0,0,0.59,0,3.3,0,10.99,0,1.17,132.11,17.51,4.08,0.86,0,1.22,0,0,0,0,19.01,0,0,0.58,0,0
 72-82,0,0,1.32,0,2,1.56,2.37,669.93,2.25,388.01,0,0,0.87,0,0,0,0,19.22,3.38,1.37,96.98,0,3.75,1.5,0,12.9,0,0,0.52,0,3.64,0,0,0,0.86,0
 84-94,0,0,0,0,16.91,0,0.56,582.21,0,261.9,1.01,0,0,0,0,0,0,20.76,1.13,0,29.77,0,0,0.89,0,9.88,0,0,0,0,3.92,0.78,0,0,0,7.98
 96-106,0,0,0,0,10.39,0,0,476.51,0,386.77,0.69,0,0,0,0.57,16.67,0,24.23,0,1.99,64.86,0,3.16,3.59,0,35.13,0,0,0,0,0,0,2.2,0,0,0
108-118,0,0,0,0,15.32,0.73,0,391.38,0,411.98,0,0,0,0,0,6.94,0,51.57,0,0,64.2,0,0,3.02,0,29.33,0,0,0,0,0.62,0,0.7,0.73,2.14,1.87
120,0,0,0,0,5.39,0,0,494.83,0,359.77,0,0,0,0,0,3.84,0,10.26,0,0,40.21,0,2.1,0,0,16.5,0,11.84,0,0,0,0,0,0,0,0
