stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,4.28,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,5.47,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,9.71,0.94,0,0,0,0,0,3.63,0,0
 24-34,0,0,0,0,0,0,0,0.81,0,0,0,5.64,0,0,0,0,0,7.86,0,0,0,0,0,0,0.74,0,0
 36-46,0,0,0.98,0,0,0,0,0.8,0,0,0,0,0,0,0,0.98,0,9.9,0,1.15,0,0,0.81,8.48,0,0,4.18
 48-58,0,0,1.25,0,0,0,0,0,0,0,2.93,6.63,0,0,3.78,0,0,8.19,0.51,0,0,0,0,0.53,0.89,0,0
 60-70,0,0,0,0,0,0,0,1.55,0,0,3.94,0,0,0,0,2.16,0.73,4.36,0,0,0,0,0,3.12,0,0,0
 72-82,0,0,0,0,0,0,3.25,0,3.83,0,3.5,1.79,0,0.59,0,2.25,0.61,1.85,0,1.28,0,0,0,1.27,0,0,0
 84-94,0,0,0,0,0,0,3.83,0,2.18,1.62,10.24,1.41,0,4.32,0,5.43,0,15.94,0,0,0,0,0,3.82,0,0,0
 96-106,0,0,0.9,0,0.73,0,24.73,0,9.38,0,0,0,0,9.75,0,3.7,0,1.65,0,0,0,4.39,0,2.94,0,0.68,0
108-118,0,0,1.56,0.74,0.53,1.93,92.7,9.41,3.13,0.81,0,2.98,0.88,9.76,0,0,0,17.63,0,0,0,0.45,0,1.69,0,0,0
120,0,0,3.64,0,0,0,28.48,0,0,3.22,0,0,0,5.44,0,0,0,10.15,0,0,0,0,1.53,1.04,0,0,0
