stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.62,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.43,0,6.14,0,0,0,1.82,56.73,0,0,0,0,0
 24-34,0,0,0,5.96,0,0,7.32,0,1.8,0,1.26,0,0,1.75,0,0,0,0,0,0,3.96,0.84,0,0.65,1051.25,0,65.47,0,0,0.93,0,196.83,0,0,0.84,0,0
 36-46,0,1.4,0,3.51,0,0,240.08,0,0,0,21.87,0,0,0.56,0,0,0,3.26,0,2.27,7.1,0,0,1.77,3754.03,0.66,80.7,0,0,0.65,0,603.2,0,0,0.72,0,3.92
 48-58,0,0,0,18.83,2.61,0,769.72,0,0.44,0,86.94,0,0.48,0,0,0,5.4,0,3.57,4.01,27.01,0,0.66,12.29,4937.47,0.49,69.2,1.21,0,7.79,0,794.97,0,0,0,0,16.76
 60-70,0,0,0,6.44,1.4,0,1337.42,0,2.67,3.82,145.42,0,0,0,3.19,0.71,0.85,0,0,0,46.16,0,0.99,0,5453.67,0,42.06,1.74,0,9.39,0,711.33,0,0,0,0,0
 72-82,0,0,0,17.7,4.95,0,953.01,0,0,9.41,104.08,0,0,0,1.22,0,2.8,0.94,0,0,45.65,0,2.4,3.35,3544.02,0,70.47,1.56,0,2.54,0,404.57,2.58,0.93,12.31,3.8,21.3
 84-94,0,0,0,17.99,6.07,0,584.66,0,0.6,8.01,94.96,0,0,0.7,1.2,0,10.59,1.58,0,0,38.78,0,2.31,4.27,2240.7,0,66.39,10.87,0,1.13,0,287.38,1.14,0,0.8,0,0.66
 96-106,0,0,0,21.42,4.28,0,465.01,0,7.32,1.54,109.79,0.58,0,2.21,2.15,0,0,0.84,9.4,5.57,23.94,1.63,1.06,1.72,1891.95,0.62,69.59,1.16,0,8.34,0,90.68,1.82,1.72,7.47,0.56,9.42
108-118,0,5.29,0,26.02,5.2,1.96,508.88,0.42,3.51,0.62,114.68,2.28,0,0,2.97,0.5,1.11,0.41,2.95,0,30.83,0,0,0.92,2403.44,0,50.89,0,0,6.53,0,107.21,4.61,1,7.29,1.65,11.35
120,0,0,1.28,16.93,5.63,0,838.63,0,5.49,0,131.16,2.62,0,0,8.85,0,0,3.53,0,0,37.17,0,0,0,3580.74,0,86.11,6.1,8.63,4.9,0,178.18,0,7.08,0,0,2.78
