stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0
  7-9,0,4.46,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,10.55,0,0,0,0,0,0
 14-21,0,1.33,18.14,3.75,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,18.85,0,0,0.92,7.24,0,1.03,2.21,1.72,0,0,0
 24-34,0,1.11,9.06,0,0,3.1,0,0,0.65,0,0,0,2.84,0.78,0,0,0,1.33,58.09,0,6.22,22.79,8.85,1.82,0,0.63,21.74,0,0,1.74
 36-46,0,0,7.83,0,0,3.41,0,0.77,2.78,0,0,0,0.65,4.12,11.16,0,0,1.05,57.48,0,3.23,16.34,7.04,0,0,0,3.23,0,0,12.91
 48-58,0,0,0.77,0,0,8.8,0,0.56,6.72,0.39,0,0,0.52,9.43,2.9,0,0,0.46,37.37,0,0,32.25,2.75,0,0,0,6.66,0,0,11.22
 60-70,0,0,5.97,0,0,18.27,0,0,4.14,0,0,1.14,0,14.92,2.52,0,0,0.89,34.38,0,1.73,20.48,13.37,0.67,0,0,5.07,0,0,4.5
 72-82,0.54,0,0.62,0,0,22.21,4.14,0,1.06,0,0,0.83,0,24.79,14.19,0,0,1.07,17.9,0,0.88,29.36,0,0,0,0,0,0,0.75,0.76
 84-94,0,0,1.66,0,1.52,10.24,0,0.89,1.61,4.55,0,0,1.07,53.27,4.3,0,0,0,15.25,0,0,104.54,0.91,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,10.74,0,9.28,0,1.8,0,6.84,1.19,31.93,3.14,0,0,0,11.41,0,3.61,111.22,3.86,0,0,0,0,2.38,0,2.09
108-118,0,0,3.96,0.52,1.64,11.77,0,0,3.63,0.93,0,0,0,35.53,4.35,0.6,1.44,1.12,19.46,0,0.46,73.14,3.01,0,0,0,0,0.47,0,1.52
120,2.52,0,1.33,0,2.69,8.7,1.31,0,0,0,0,0,0,33.27,3.42,0,0,0,15.36,0,1.99,174.1,0,0,0,0,0,0,0,0
