stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,141.72,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,60.18,17.92,0,153.08,0,0,8.88,0,0,0,0,0,97.32,0,0,0,0,0,0,0,0,0,0,146.62,39.24,0,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,737.69,0,90.47,17.59,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0,325.72,9.1,0,0,27.76,0,0,0,23.17,0,0,0,0,0,0,0,0
 14-21,0,0,0,292.11,354.32,143.16,33.01,0,0,0,10.5,293.62,0,15.8,0,0,0.87,0,3.59,270.87,0,0,86.94,87.08,18.19,0,0.98,27.1,0,2.08,4.94,5.24,0,6.24,159.36,0,0,42.81,0,0
 24-34,0,0,0.65,91.71,212.63,5.95,115.15,0,1,1.02,1.05,11.59,0,11.59,0,0.86,0,0,4.32,131.79,0,0,51.91,43.14,0,0,0,0,3.12,4.03,2.32,4.79,0,2.87,48.15,0,0,60.44,0,0
 36-46,0,0,0,6.6,133.27,0,103.94,0,0,40.76,0,4.75,0,14.74,1.03,0,4.15,0,3.21,299.11,0,6.49,130.07,50.02,0,1.8,1.66,0,0,2.92,0,0,0,0,22.12,0,0,4.05,0,0
 48-58,0,0,0,2.43,79.03,0.67,85.01,0,0.58,52.27,2.93,2.19,0,7.5,0,0,2.25,0,0.48,664.18,0,1.2,107.3,79.21,0,0,1.03,0,0,0.46,0,0,0,0,11.26,0,1.81,2.01,0,1.42
 60-70,0,0,0,0,82.49,0.7,50.58,0,15.07,106.57,9.73,1.51,0,6.35,2.34,0,7.96,0,0,1259.29,0,7.52,110.48,100.54,0,1.82,0.63,0,2.47,0,0,0,0.76,0,1.69,0,5.83,6.67,1.25,8.44
 72-82,0,0,0,0,37.6,0,55.81,0,0.51,70.61,4.76,1.22,0,6.56,0,0,5.18,0,0,1183.63,0,3.71,129.11,82.72,0,0,1.65,0,3.13,2.36,0,0,0,0,1.63,0.5,1.69,8.22,7.11,0
 84-94,0,0,0,0,59.88,0.69,62.62,0,9.36,64.43,7.08,1.89,0,2.61,0,0.72,10.87,0,0,941.65,0,15.58,56.36,64.81,0,0,0,0,3.24,0,0,1.52,0,0,8.4,9.68,5.1,8.08,6.55,0
 96-106,0,0,0,0,50.14,3.96,69.98,0.9,12.03,54.78,17.1,3.72,0,15.27,0,1.35,10,1.17,1.13,820.08,1.57,5.21,36.73,46.84,0,3.93,0.73,0,6.8,2.43,0,0,0,0,6.21,7.06,9.7,22.3,5.77,0
108-118,0,0,0,0,46.93,4.87,48.63,0,1.36,42.69,7.91,6.93,0,7.51,6.46,0.44,10.41,0,8.14,699.61,1.92,5.16,27.83,64.37,1.21,0,0.48,0,8.55,1.64,0,0,0,0,2.85,9.57,4.79,17.7,0.87,0.97
120,0,0,0,0,47.73,0,77.35,0,1.8,77.31,6.25,1.62,0,5.74,0,0,7.78,0,3.79,733.58,0,21.56,30.93,73.11,0,4.59,1.4,0,18,0,0,0,0,0,0,3.36,2.35,15.04,9,0
