stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,1.02,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,14.35,4.17,2.47,0,0,0.87,0,0,0.9,0,1.44,19.07,48.75,23.98,0,0,0,0
 24-34,0,0,0,9.38,7.85,0.82,0.83,0.63,0,1.92,0,0,0.64,0,0,10.13,0,0,32.03,53.67,3.45,2.91,0,0,0,1.85,0,0,3.53,13.29,62.77,51.34,0,0.71,0,0
 36-46,0,0,0,18.34,27.8,0,0,3.84,0,1.05,0,0,0,0,0,12.58,0,0,20.2,102.69,0.56,1.55,0,0,0,7.48,0,0,0.79,20.91,2.54,54.42,0,0,0,0
 48-58,0,9.92,0,168.36,33.97,0,0,10.45,0,2.16,0,0,0.48,0.7,7.06,36.17,0,0,10.78,109.09,0.94,12.22,0,6.64,0,4.53,0,0,0,12.18,0,42.07,0,0.58,0,1.43
 60-70,0,0,0,776.08,46.85,3.13,0,1.54,0,0.87,0,0,0,0,0,55.61,0,0,13.78,111.01,0,5.7,0,0,0,13.47,0,0,0,18.56,0,13.59,0,0.63,0,0
 72-82,1.85,5.17,0.8,962.89,21.83,0,0.62,11.68,0.7,0.49,0,0,0,5.32,0,39.07,0,8.66,20.71,117.65,0,1.08,1.1,1.13,0,0,0,0,3.57,13.93,0,16.3,0,0.72,0.93,4.79
 84-94,2.4,3.39,6.72,638.41,36.99,4.74,0,10.32,0,0.63,2.07,1.57,0,0.86,0,42.72,0,0,5.45,89.46,0,0,1.86,0,0,6.85,0,0,0,5.61,0,8.19,0,0,2.36,0
 96-106,2.93,7.43,1.27,787.56,27.13,0,0,15.29,0.83,3.19,0,0.66,0,10.52,0,18.53,0,2.61,1.88,65.32,0,0.7,1.62,0,0,6.24,0,0,1.21,9.46,0,3.42,0,0.72,0,0
108-118,2.46,0.58,0,640.3,27.78,0,0.65,13.78,0.54,0,1.91,0,0,0,2.88,21.05,5.46,0,16.59,91.93,0,0,0.45,0,0,1.29,0,0,0.72,13.87,0,3.65,3.42,0,0,1.24
120,0,13.75,1.28,461.31,45.22,6.25,0,6.29,5.75,1.85,0,0,0,0,0,9.6,16.75,0,22.33,176.11,0,12.48,0,0,13.12,0,0,1.12,0,7.62,0,14.99,0,0,10.63,0
