stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,3.67,2.3,0,0,0,0,0,0,0,0,0,0,3.03,0,1.93,63.52,0,0,0,0.9,0,1.86,2.89,24.88,0,0,0
 24-34,0,0.6,1.44,0,4.04,0,0,0,2.05,0,0,0,0,0,0,9.36,0,1.93,61.22,0,2.4,4.09,0,0.79,0,0,12.51,3.88,0,0
 36-46,0,0,0.6,0,17.09,0,0,0,1.43,0,0,0.98,0,0,0,11.87,0,1.17,72.13,0.82,0,2.02,0,0,0,0,18.21,5.27,0,0
 48-58,0,0,0,0,14.62,0,0,0.75,6.18,0,0,0,0,0.37,0,10.89,0.45,0.82,38.78,0,4.11,0,0,0.51,0,0,6.94,0,0,0
 60-70,0,0,1.05,0,71.3,0,0,0,9.72,1.64,0,0.69,0,0,0,16.08,0,1.99,49.36,0,0,0,0,0,0,0,2.41,0,0,0
 72-82,0,0,3.07,0,112.69,0,0,1.08,13.2,0,0,0,0,0.57,0.96,8.33,0,0.76,93.16,0,1.09,0,0,0,0,0,8.43,0,0,8.58
 84-94,0,0,0.64,0,132.93,0,0,2.09,11.16,0,0,0,0,1.39,0,10.67,0,0.87,55.45,0,2.46,3.55,0,0.76,0,0,4.74,0,1.95,0
 96-106,0,0,0,0,127.3,0,0,0,6,0,0.61,4.83,0,1.17,0,22.97,2.46,0,50.24,0,13.92,0.9,0,0,0,0,0,1.44,0,0
108-118,0,0,3.72,0,147.74,1.09,0.5,0,13.01,0,0,2.45,2.1,0,2.42,9.7,0,0.52,46.23,0,5.66,0,0,0,0,0,0,0.43,0,0
120,0,0,0,1.06,278.61,0,0,0,11.44,0,0,0,0,0,0,2.87,0,1.46,103.4,0,82.37,0,0,0,0,0,4.01,0,0,0
