stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,1.86,0,0,2.62,0,0.92,0,0,1.37,0,3.54,0,0,0
 24-34,0,12.3,0,0,0.91,0,0,0,0,0,0,395.59,0,0,0,0,1.82,9.61,0,0.87,21.56,0,0,0,0,14.89,0,0.75,11.15,0,0
 36-46,0,22.31,0,2.04,0,0,0,4.19,0,0,0,362.05,0,0,0,0,0.73,22.78,0,0.59,28.67,0,1.09,0,0,0.99,0,0,4.27,0,0
 48-58,0,1.7,0,13.91,0,0,0,1.61,0,0,0,451.51,2.19,0.65,0,5.32,11.51,21.49,0,0.43,25.55,0,0,0,0,0.89,0,0,3.92,7.78,0
 60-70,0,49.95,0,30.94,0,0,0,0,0,0,2.29,302.03,3.59,0,0,0,18.03,0,0,0,35.3,0,0,0,5.63,12.54,0,0,1.54,0,0
 72-82,0,15.31,1.62,15.84,0,0,0,9.74,0.86,0,0.6,481.14,0,0,0,0,38.85,0,0,0,38.78,0,0,0.61,0,9.33,3.02,0,8.43,0,0
 84-94,0,56.64,0,23.55,0,0,0,8.8,0,1.95,0,1100.25,0,0,0,0,8.66,17.08,0,1.49,18.33,0,3.34,1.27,0,22.9,0,0,6.3,3.13,0
 96-106,0,403.77,3.15,32.44,0,37.41,1.5,20.88,0.64,0,1.03,1440.3,15.87,0,4.27,0,29.94,10.08,0,1.1,48.63,0,6.61,0.84,3.14,22.39,0,0,0,0,0
108-118,0,143.55,2.59,13.2,0.44,6.07,0,11.48,0,0,12.34,1727.7,4.61,0,0,0,10.16,47.74,0,2.38,18.66,0.92,0,0,0,8.61,0.51,0,1.47,1.06,1.25
120,0,126.74,0,5.21,0,37.62,0,12.2,3.54,0,0,898.94,0,0,0,0,4.8,0,18.76,0,54.2,0,22.22,0,0,45.19,0,0,0,9.87,0
