stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,43.06,457.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.29,231.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,3.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,5.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.56,4.7,1.03,4.48,0,0,1.05,0,0,0,0,0,0,1.13,6.22,0,7.54,75.7,0,0,2.91,0,0,2.08,0,0,3.07,28.49,0,0
 24-34,0,0,0,0,2.79,0,3.33,0,0,0,0.77,0,0.69,0.81,0,0,0,13.13,0,7.06,174.05,0,2.8,0,0,0.8,0,0,0,0,46.71,1.77,0
 36-46,0,0,0,0,0,0,7.04,0,0,3.14,0,0,0,0,0,0,0.91,18.6,0,4.42,333.32,0,1.8,0,0,0,0,0,0,0,85.81,0.9,0
 48-58,0,0,0,0,0.7,0,28.94,0,0.37,10.62,0,3.95,0,0,0,0,3.76,21.76,0.98,1.93,464.71,0,0.84,0,0,1.21,0,0,0,0,59.95,3,0
 60-70,0,0,0,0,7.24,0,59.38,0.9,0,1.44,0,0,0,0,0,0.77,0,8.64,0,0.72,417.79,0,2.28,0,0,0.61,0,0,0,0,70.38,0,0
 72-82,0,0,0,0,0,0,53.41,0,1.23,3.54,0,0,0,0,0,0,0,23.41,0,0.55,355.75,0,0,0,0,0.78,0,0,3.45,0,37.04,0,0
 84-94,0,0,0,0,0,0,44.01,0,0,2.69,0,0,0,0,0,0,0,6.04,2.57,0,301.44,0,0,0.58,0,1.15,0,0,0,0,22.28,0,0.64
 96-106,0,0,0,0,0.71,4.88,39.07,0,0,3.33,0,0,0,0,0.81,0,0.75,8.74,0,1.54,178.73,0,0,0,0,1.95,0,0,0,0,12.86,0,2.17
108-118,0,0,0.8,0,0,0,21.57,0,0,0.89,0,0,0,0,0,0,0,17.58,0,0,181.86,0,1.77,0,0,0,0,0,0,0,4.26,1.02,0
120,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,8.36,0,0,176.05,0,0,0,0,11.26,0,3.15,0,0,20.27,0,0
