stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,125.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,38.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,3.42,0,0,15.87,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,94.58,0,0,0,30.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.36,20.18,0,0,81.59,0,0,0,0,3.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,103.03,10.65,6.06,0,104.74,0,2.11,0.82,0,2.03,0,0,0,0,0,0,6.38,0,0,3.06,11.82,1.4,0,7.26,2.67,0,362.08,1.68,2.87,0.83,0,12.44,7.94,0,0,50.83,0,0
 24-34,0,0,0,154.52,8.28,7.16,0,553.85,3.01,1.53,2.67,0,15.57,0,1.9,0,1.07,0,0,38.3,0,0,24.41,73.81,3.21,9.89,13.3,0,0,21.54,0,0,6.99,0,4.82,53.85,0,0,496.61,0,0
 36-46,0,0,0,163.88,0.57,23.11,0,690.83,12.84,16.78,0,0,39.93,0,3.14,0,5.92,0,5.02,133.02,5.24,0,58.74,254.07,3.38,38.94,8.9,0,0,54.23,0.98,0,0.58,0,0,170.24,0,0,765.48,0,1.2
 48-58,0,0,0,80.69,0,24.89,0,495.04,10.83,15.13,0.87,0,22.43,0.77,0,0,8.11,0,0.39,79.02,1.99,1.2,22.09,670.28,0,9.84,35.89,0,0,21.02,0,0,0.62,1.52,0,147.65,0,0.61,312.11,0,3.19
 60-70,0,0,0,98.39,0,88.08,0.81,475.16,26.26,18.46,0,0,24.68,0,3.71,0,18.21,0,0.93,220.8,0,4.02,13.74,645.6,0,10.25,82.04,0,7.7,4.26,0,0,4.15,0.76,0,129.16,4,12.97,257.84,0.61,10.43
 72-82,0,0,0,44.52,0,141.35,0,244.39,19.06,27.15,0,0,10.62,0.6,0,0,10.17,0,0,168.68,0,8.75,8.83,306.84,0,10.47,64.55,0,4.03,3.14,0,0,0,0,0,40.49,1.44,11.37,343.98,4.47,0
 84-94,0,0,0,78.55,0,111.43,0,329.63,5.74,20.37,1.97,0,8.7,0,3.74,0,2.71,0,4.51,141.5,0,10.67,8.48,261.18,0,1.64,133.65,0,0,0.59,0,0,1.5,0,0,20.33,0.72,5.57,369.37,10.35,9.59
 96-106,0,0,0,68.08,0,114.1,1.73,267.76,1.82,23.84,0,0,10.68,0,1.44,0,6.82,0,1.89,124.58,0,16.17,8.75,168.35,0,4.36,280.52,0,7.55,6.45,0,0,2.33,0,0,0,1.68,8.89,350.05,6.08,0
108-118,0,0,0,34.31,0,105.11,0,252.81,21.23,11.58,3.96,0,1.61,1.31,3.25,1.15,5.37,0.45,0,116.97,0,16.55,2.17,187.27,0,6.25,278.56,0,13.97,9.13,0,0,1.64,0,0,15.39,1.56,8.18,729.22,5.02,6.02
120,0,0,0,31.51,2.93,107.97,0,274.79,0,6.05,5.64,5.2,13.08,0,0,0,1.12,0,0,85.15,1.13,10.36,2.74,236.08,1.32,1.46,279.28,0,11.76,1.07,0,0,0,0,0,38.08,0,14.06,432.89,9.38,0
