stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,17.5,54.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.29,91.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,8.76,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.29,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,24.78,0,0,0,0,32.03,16.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.61,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,63.74,0,0,0,33.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.43,0.9,8.06,1.27,0,0.87,0,0,0,0,6.93,0,0,0,1.12,0,0,0,4.27,0,5.23,1.09,0,133.01,0,1.36,0,0,0,2.35,0,0,0
 24-34,0,0,0.62,0,29.1,0.81,0,1.53,1.55,0,1.15,3.76,23.65,0.85,0,6.33,0.72,6.85,0,0,29.17,0,18.75,3.62,0,349.79,0,0,0,0,4.03,5.79,0,10.59,1.99
 36-46,0,0,0,0,1.18,0,3.9,0.57,0.78,0.56,0.76,4.06,25.26,0.72,0,0,0,6.05,0,0,42.79,3.24,25.41,1.2,0,390.19,0.81,0,0,0,0,9.24,0,2.39,0
 48-58,0,0,0,0,10.51,0,7.76,4.56,1.12,0,0,18.29,21.88,0.47,0,1.44,7.27,20.71,0,0,59.12,0,13.31,0,0,277.23,0,0,0,0,0,8.45,0,10.25,1.3
 60-70,0,0,0,0,23.74,0.76,45.04,1.4,3.26,3.05,0,4.72,2.06,0.7,6.73,1.94,1.28,1.27,0,0,60.24,0,11.38,0,0,213.65,0,0,0,1.58,0,5.17,1.62,0,0
 72-82,0,0,1.56,0,10.51,0,33.69,5.72,0,3.38,0,14.79,7.48,3.23,0,0,1.37,6.2,0.78,0,56.67,0,3.53,5.65,0,130.92,0,0,0,0,0,0,5.32,1.18,5.25
 84-94,0,0,2.65,0,31.77,0,36.79,0.63,0,4.73,0.76,8.04,12.12,1.28,0,0,0,2.23,1.17,0,14.09,0,17.6,3.8,0,262.86,0,0,0.67,0,0,0,8.01,0,4.76
 96-106,0,0,0,0,47.92,1.39,62.96,2.53,1.14,10.26,0,18.68,12.74,10.18,10.62,0,3.33,7.33,0,4.48,13.73,0,6.37,2.73,0,280.98,0,0,0,0,0,0,4.55,0.64,0
108-118,0,0,0.84,0,45.82,3.47,9.93,3.9,0,14.47,0,8.15,10.98,2.68,4.17,0,1.18,2.57,0,0,27.83,0,13.08,3.09,0,181.16,0,0,0.84,0,0,0,11.97,0,0
120,0,0,0,0,72.75,1.38,20.42,1.13,4.16,17.65,0,15.74,6.18,7.24,0,0,0,0,0,0,17.22,4.62,24.44,8.85,0,118.69,0,0,0,0,0,0,15.27,0,0
