stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,1.15,0,0,11.33,22.53,9.14,0,0,0,0,1.21,2.26,0,1653.03,208.59,8.22,0,0,0,0,0
 24-34,0,0,0,0,10.47,2.6,0,20.54,912.23,1.53,0,4.49,0,0,0,0,0.79,0,0,8.5,9.22,19.72,0,0,97.58,280.28,7.09,0,1.37,0,0,15.26,3.11,10.67,1262.85,358.47,44.8,0,0,24.93,0,12.05
 36-46,0,0,0,0,15.82,0.9,0,51.22,2247.23,0,0.58,19.79,0,0,0,0,0.78,0,2.2,0,46.34,16.25,0,0,97.78,402.81,1.56,0,0,0,0,13.47,0,6.8,1078.27,26.18,51.04,0,0,1.04,0,0
 48-58,0.58,0,0,0,8.45,0.97,0,211.04,2246.33,4.63,2.43,61.06,0,0,0,2.73,0,0.89,2.99,8.82,48.96,83.27,0.71,0.51,96.63,705.4,0,7.92,2.51,0,0,17.05,0,0.49,650.87,0,121.86,0,0,2.47,0,32.36
 60-70,0,0,0,0,13.26,6.49,0,231.62,1338.07,0.67,0,38.01,1.9,0,0.87,0,0,6.8,0,0,37.41,111.92,0,3.31,61.48,409.74,9.41,0,5.96,22.98,0.71,22.87,0,3.68,332.58,0,71.36,0,1.44,1.09,0,22.33
 72-82,0,0,0,0.56,23.97,12.59,0,201.59,780.15,15.27,4,40.64,0,0,2.07,8.85,0,4.18,6.05,1.92,39.86,103.83,0.56,2.98,25.92,350.42,2.27,2.81,0,0,1.77,6.5,0,0,145.41,0,21.79,1.48,1.91,10.78,3.38,8.71
 84-94,0,0,0,0,7.02,34.52,2.96,218.49,1316.54,3.44,3.54,33.91,1.49,0,4.17,7.25,1.6,12.18,0,2.29,60.3,110.26,2.16,0.69,68.37,343.66,6.61,0.77,0.97,0,0.77,39.18,0,1.33,274.81,0,50.23,0,2.12,16.49,11.51,18.28
 96-106,0,0,0.74,0,36.73,127.19,0.94,505.59,1931.27,5.78,2.44,102.69,5.94,0,3.38,9.21,2.72,6.43,4.52,35.15,46,152.47,2.79,10.78,94.1,467.59,1.13,5.32,2.82,1.2,2.4,70.36,0,0,269.24,0,19.55,12.13,8.29,19.06,9.29,46
108-118,0,0,1.56,0,30.38,31.52,1.52,307.39,1509.22,1.04,11.05,50.38,2.43,0,2.59,10.1,5.7,19.67,1.01,27.7,77.83,153.62,2.77,4.37,134.48,499.36,0,1.73,2.59,0,10.04,47.76,0,0,248.53,0,26.67,0.91,0,15.72,13.33,20.98
120,0,0,0,0,25.07,7.07,0,226.8,974.45,5.36,6.64,39.33,2.53,0,0,19.94,1.28,3.65,0,3.99,12.76,78.89,1.46,0,121.86,343.34,0,0,0,0,0,8.32,6.71,0,135.03,0,21.98,1.63,0,6.45,10.59,11.41
