stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,47.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,30.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.89,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.13,0,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,34.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.58,0,0,32.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,9.98,1.68,0,1.71,0,0,0,0,3.95,0,0,0,0,10.66,0,0,1.81,62.51,0,0,0.82,0,0,0.9,3.23,0,1.39,0.88,11.7,0,3.45,0,0
 24-34,0,0,0.6,8.19,0,0,4.23,0.62,0,5.61,0,0,0,0,0,1.74,25.84,0,0,9.17,84.13,0,0,0,0,0,0,0,0.97,0,0,21.34,0,3.21,0,0.71
 36-46,0,0,0,2.08,0,0,7.76,0,0.89,21.88,0,0,4.19,0,0,1.97,40.28,0,2.5,10.28,57.49,0,2.96,0,0,1.44,0,0,0,0,0,15.89,0,5.89,0,0
 48-58,0,0,0,1.45,0,0,16.39,2.4,1.97,22.41,0,0,0.41,0,0.41,1.59,64.74,0,4.36,5.33,19.36,0,2.73,0,0,0,0,0,0,0,0,11.25,0,2.56,0,4.18
 60-70,0,0,0,2.96,0,0,16.17,0.68,1.34,31.06,0,0,1.45,0,0,1.39,61.17,0,10.13,9.59,15.12,0,2.42,0,0,0.85,0,0,0,0,0,1.13,0.59,0,0.98,0
 72-82,0,0,0,6.66,4.06,0,43.88,0.5,1.67,22.99,0,0,0,0,1.3,2.49,67.93,0,5.96,5.27,16.8,0,1.59,0,1.08,0.83,0,0,0.76,0,0,4.59,2.56,3.28,1.62,8.2
 84-94,0,0,0,1.35,0,0,28.26,0,0.93,20.79,0.81,0,0.73,0,1.28,0,97.84,0,1.59,4.6,27,0,1.67,0,0.6,0.74,0,0,0,0,0,2.24,0.63,0.59,0,0
 96-106,0,0,0,3.09,0.68,0,14.42,0,0.59,16.71,0,0,0,0.6,2.39,3.24,62.31,0.76,5.25,0.71,4.9,0.81,3.95,0,1.9,1.06,0,0,0,0,0,6.89,4.21,6.12,1.17,6.8
108-118,0,0,0,5.91,0,0.61,8.43,1.34,0,19.12,0,0,0.88,0,0,0.98,57.67,0.6,3,5.33,14.8,2.9,4.44,0,3.74,0.46,0,0,0,0,0,0.87,0,2.57,1.61,0
120,0,0,0,4.32,3.62,0,19.49,3.91,0,6.41,0,0,2.63,0,0,0,68.11,0,2.18,0,38.42,0,3.06,0,2.03,0,0,0,0,0,0,0,0,0,0,0
