stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,33.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.33,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,19.77,0,0,0,0,0,0,0.64,0,0,0,0
 36-46,0,0,2.53,0,0.61,0,0,0,1.09,0,0,0,0,0,1.49,0,0,1.39,0,0,1.03,10.01,0,1.6,0,0,0,0,3.27,0,0,1.23,2.73
 48-58,0,2.62,3.6,0,5.31,0.98,0,0,1.6,0,0,0,0,0,0,0,1.74,2.6,0,0,0.47,39.23,0,1.71,0,0,0,0,1.64,0,0,8.03,0
 60-70,0,0,0,0,22.24,0.78,0,1.28,1.25,0,0,0,0.98,0,0,0,0,13.99,0,0,0,8.1,0,0,0,3.99,3.99,0,3.66,0,0,0.96,1.56
 72-82,0,0,0.5,0,7.45,0,0,0,6.33,0,0,1.07,0,0,0.49,0,0,17.43,0,0,1.38,12.75,0,1.28,0,1.7,0,0,3.2,0,0,0,0
 84-94,0,0,8.03,0,26.69,1,0,0.57,11.41,0,0,0,6.19,0,0,0,0.88,7.55,0,0,1.83,13.64,0,0,0,0.6,0,0,0,0,0,1.54,0
 96-106,0,0,5.14,0,17.36,0.57,0,0,22.44,0,0,0,0.96,0.77,1.25,0,0,20.29,0,7.81,0.87,0,0,0,0,1.76,0,0,0,0.82,0.58,0.56,0
108-118,0,1.24,4.79,13.42,8.6,0,2.4,0,1.28,0,0,1.54,0.47,0,1.25,0.46,2.42,20.3,1.71,2.89,0,13.4,0,0,8.11,6.09,0.47,0.95,0,0,0,8.83,0.45
120,0,0,10.56,0,22.86,0,0,0,25.09,1.19,0,0,5.17,0,1.59,1.08,0,22.12,0,0,0,6.54,6.46,11.19,0,1.57,0,0,0,0,0,0,0
