stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,17.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,25.82,0,4.68,0,0,0
 10-12,4.34,0,0,3.21,0,0,0,0,0,0,0,0,35.63,0,5.85,0,0,0
 14-21,0,7.01,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
 24-34,0,42.96,0,0,2.63,0,0,1.72,0,0,0,0,4.65,0,0,0,0,0
 36-46,0,17.41,0,0.88,9.23,0,0,3.38,0,1.98,0,0,3.31,0,0,0,0,0.73
 48-58,0,45.1,0,0,11.04,1.1,0,2.06,0.97,0,0,0,14.48,0,0,0,0,7.76
 60-70,0,47.16,0,0.59,3.2,0,1.54,6.62,0,1.13,0,0,1.2,0,0,0,0,0
 72-82,0,20.14,0,9.33,5.91,0,0,6.65,0,0,0.58,0,6.07,0,0,0,0,0
 84-94,0,54.75,0,1.18,9.77,0,0.67,9.63,0,0,0,0,0,0,0,0,0,0
 96-106,0,45.54,0,7.14,5.33,0,6.68,7.65,0,1.5,1.24,0,2.2,0,0,0,0,0
108-118,0,86.84,0,0,9.26,0,0,7.85,0,0,0.5,0,16.19,0.74,0,1.01,0.41,0
120,0,88.5,7.49,0,10.72,0,4.14,25.58,0,0,0,0,4.63,0,0,0,0,0
