stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0
  5-6,110.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.58,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.47,16.64,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,74.3,0,4.44,9.51,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,144.66,11.07,0,0,100.12,0,0,0,6.12,0,0,0,0,0,0,0
 14-21,0,0,0,17.15,0,0,0,0,1.15,1.08,0,0,0,0.8,0,0,0,1.81,0,0,3.29,31.23,0,0,1.8,0,0,1.63,5.79,0,3.65,18.17,0,0,0,0,0
 24-34,0,0,0.76,2.65,0,5.56,0,0,2.44,0,0,1.22,0,0,0,0,0,17.89,0,0,5.49,60.92,0,1.96,0,0,0,1.49,0,0,0.74,14.38,0,0,3.13,0,0
 36-46,0,0,0,1.28,0,3.92,2.18,0.57,4.9,0,0,1.77,0,3.45,0,0,2.91,31.84,1.5,1.75,5.84,61.46,0,0,1.62,0,0,1.51,0,0,0,26.18,0,0,8.94,0,1.38
 48-58,0,0,0,6.83,0,11.18,0.37,1.38,15.38,0,0,1.05,0,0,0,0.53,0,27.15,0,2.56,4.78,46.37,0,0,8.34,0,0,0,0,0,0,16.51,0,0,4.94,0,0
 60-70,0,0,0,9.08,0,17.29,1.24,1.38,5.11,0,0,1.38,0,0,4.2,0,0,68.16,0,0.99,2.19,22.87,0.93,4.93,4.9,0,0,0,0,0,0,6.25,0,0.84,3.13,0,0
 72-82,0,0,0,2.9,6.2,25,0,5.68,17.16,0,0,1.97,0,0,0,1.04,1.18,69.66,0.78,1.02,8.22,23.91,2.48,0,2.64,0,1.03,2.24,0,0.75,0,5.77,0,0,2.86,2.48,4.46
 84-94,0,0,0,12.5,10.43,20.5,0,0,23.34,0,0,0,3.15,0,2.01,0.66,1.22,75.35,0,6.44,2.34,30.66,3.01,0,1.75,0,0,5.3,0,0,0,7.42,0.78,5.22,9.04,2.26,6.56
 96-106,0,1.56,0,5.76,5.5,16,2.02,4.31,38.71,1.04,0,3.61,3.97,2.9,1.3,2.56,6.77,135.47,1.46,6,6.13,30.59,0.98,1.57,5.45,0,9.49,6.11,0,0.87,0,6.39,4.11,0.93,10.76,6.91,0
108-118,0,0,0,5.45,0.52,19.7,4.29,0.56,27.76,0.61,0,2.59,3.84,0,0.95,0.89,0,83.74,0.7,0.92,3.18,35.31,0.48,3.24,5.21,0,5.82,1.49,0,0,0,0.71,0.68,0,16.74,4.43,9.46
120,0,0,0,18.74,8.74,8.64,0,0,45.01,1.91,0,0,8.97,0,2.62,0,0,77.03,0,0,5.35,35.28,0,0,0,0,0,0,0,0,0,0,2.25,7.78,12.21,5.18,0
