stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  5-6,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,14.55,0,0,0,0,0,0,0,20.15,0,0,6.6,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,4.86,0,0,0,0,0,0
 14-21,0,0,0.88,0.89,0,0,0,0,0,0,0,0.89,8.86,0,0,0,0,0.86,0,1.25,0,0
 24-34,0,0,0.61,0,0,0,6.84,0,1.94,0,0,2.04,5.07,0,0,0,2.5,0,0,0.88,0,1.46
 36-46,0,0,0,0,0,0,2.14,0,0,0,0.61,0.88,2.12,0,0.58,0,1.66,0,0,0.78,0,0
 48-58,0,0,0,0,1.11,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.2,0,0,0,0,0.78,2.96,0,0,0,0,0,1.47,0,0,0,0,0
 72-82,0,0,0,0,8.65,0.94,0,0,0,0,1.87,0.92,4.05,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.24,0,0,0,0,0,4.82,0,0,0,0,0,0.65,0,0,0,0,0
 96-106,0,0,0,0,186,0,2.16,0.7,0,0,0.85,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,1.44,187.44,0,0,0,0,1.91,3.71,0.57,0.95,0,0,0,0,0,0.43,0.44,1.21,0
120,0,0,0,11.92,618.55,0,0,0,0,0,1.76,0,18.9,0,0,0,1.87,0,0,0,0,0
