stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,155.8,1294.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.05,0,0,0,0,0,0,0,0,0
  5-6,122.61,1989.21,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,96.81,0,0,0,9.09,23.84,0,0,0,0,0,0,0,0,0
  7-9,14.53,26.11,18.78,0,0,77.55,0,0,0,0,31.63,0,0,0,0,0,0,0,0,0,0,0,638.26,8.09,0,0,173.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.62,54.23,0,0,53.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.79,25.96,0,0,200.83,0,0,17.46,0,0,0,0,0,0,0
 14-21,0,0,0,6.32,0,3.17,0,0,1.34,0,0,0,0,0.96,0,0,0,0,3.08,0,0,1.93,31.17,0,0,0,0,0,6.5,0,0.9,9.63,0,0,0,0,0
 24-34,0,0,0,6.13,0.91,17.6,0,2.09,4.24,0,0,0,4.52,0,0,0,0,0,20.94,0.76,0,9.87,260.74,0.86,0,2.42,0,11.12,0,0,3.55,65.56,0,0,5.38,0,0
 36-46,0,0,0,3.83,3.48,18.92,0,0,13.8,0,0,0,0,0,0,0.62,0,0,8.53,0,0,1.42,75.93,0.62,0.65,5.03,0,13.05,0,1.16,0,11.37,0,0,3.26,0,1.73
 48-58,0,0,0,4.95,5.79,55.91,6.72,3.72,2.43,0,0,1.15,0,0,0,0,0,0,14.38,0,0,1.27,53.88,0.56,0,0,0,7.72,0,4.97,0,11.29,0,0,0,0,0
 60-70,0,0,0,3.81,5.98,25.3,0,0,3.35,1.6,0,0,4.13,0,0,2.4,3.3,0.71,13.54,0,1.71,7.01,24.42,0,0,0,0,0.82,0,0,0,4.13,0,0,1.75,0,0
 72-82,0,0,0,2.4,4.55,19.25,0,0,1.77,0,0,0,0,0,1.24,0.68,0,0,12.45,0.57,0,3.43,39.78,0,0,0,0,0.81,0,0,0,0.61,3.44,0.9,2.45,1.11,0
 84-94,0,0,0,3.27,0,15.71,0,0.64,9.37,0,0,0,1.51,2.4,0,0,0,0,10.9,0,0.76,4.1,22.13,0,0.97,0,0,0.67,0,0,0,0,0,0,3.85,0,0
 96-106,0,0,0,5.61,1.85,9.35,0,0,4.89,0.69,0,1.2,2.62,0,0,0,0,0,8.09,0,0,0,17.73,0,0.57,0,0,0,0,0,0,3.97,0,0,0.69,0,0
108-118,0,0,0,0,1.77,13.16,0,0,9.76,0.43,0,0,0,0,0,0,0,0,10.8,0,0.94,2.04,19.21,0,0,0,0,1.83,0,0,0,3.38,0,0,0.86,0,0
120,0,0,0,3.53,5.33,16.44,0,0,2.33,0,0,0,1.52,0,0,0,0,0,10.89,0,0,2.09,53.5,2.55,0,0,0,1.54,0,0,0,6.6,0,0,0,0,0
