stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,neural,periderm,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0
 24-34,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0
 60-70,0,0,1.01,0,0,0.63,0,0,0,0,0,1.19,2.31,0
 72-82,0,0,0,0,4.24,0.69,0.68,0.89,1.27,0,0,7.81,0,0
 84-94,0,0,0,0,0,4.55,0,0,2.11,0,0.84,0.63,0,0
 96-106,4.06,0.56,0,0,0,9.9,0.78,0,10.74,0,0,0.99,1.78,1.63
108-118,0,0.74,3.73,0.62,0,10.82,0.58,0,10.18,1.63,0,2.33,0,0.91
120,0,1.85,0,0,0,18.52,1.6,0,3.51,0,0,4.5,0,0
