stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.25,22.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,17.69,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,2.15,0,0,0,0
 24-34,0,0,2.21,1.48,0,0,6.74,0,0,0,0,0,0,8.76,0,0,0,22.65,0,0,0,0,0,11.79,0,0,0,0
 36-46,0,0,0.89,0,0,2.1,1.45,0.82,0,0.7,0,0,1.19,1.44,1.99,0,0,14.91,0,0,0,0,0,20.83,0,0,0,0
 48-58,0,0,0,0,0,5.27,1.52,0.8,0,0,0,0,1.36,0,0,0,0,12.23,0,0,2.89,0,0,0.86,0,0,0,0
 60-70,0,0,0,0.72,0,69.78,0,0.59,0,0,0,0,6.65,0,0,0,0.68,16.94,0,0.6,2,0,0.62,2.44,0,0,0,0
 72-82,0,0,0,6.12,0,119.71,3.86,0,0,0,0,0,7.39,0,0,5.8,0,14.54,0,0,22.82,0,0,5.85,0,0,0,0
 84-94,0,0,1.4,0,0,240.37,0,1.26,0,0,0.73,0,12.93,0,0,3.58,0,13.19,0,0,4.3,1.24,0,0,0,2.74,0.82,0
 96-106,0,0,0,0,2.48,169.77,1.83,1.63,2.53,0,0.78,0,11.98,0,0,0,0,9.75,0,0,12.57,7.54,0,0.57,0.59,0,0,0
108-118,0,0,0.43,0.44,0,162.61,0,0.54,0,0.59,0.56,1.03,6.28,0,0,4.26,0,0,0,0,16.01,0.44,0,1.82,0,0,0,1.42
120,0,0,0,0,0,29.79,0,0,0,0,0,0,24.2,0,0,0,0,14.36,0,0,24.4,0,0,0,0,0,0,0
