stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,7.02,0,1.99,0,0,0,0,0,0,0,0,3.77,0,0,30.99,0.89,2.04,1.39,3.78,0.96,9.59,2.77,0,0
 24-34,0,0,0,0,0,0,0.62,0,0,0,0.86,0,0.89,0,32.04,0,0.9,0,0,0,0,5.15,0,3.81
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46,0,0,0,0,0,0,1.58,0,3.75
 48-58,0,0,2.18,0,0,0,0,0,5.74,0,0,0,0,0,76.5,0,0,0,0,0,0,2.58,0,0
 60-70,0,0,35.64,0,3.9,0,0,4.26,0,1.75,0,0,0,0,214.47,0,0,0,0,0,0,1.29,0,2.39
 72-82,1.47,5.86,86.07,0,2.39,0,0,0,0,0,0,5.16,0,2.76,348.44,0,0,0,0,0,0,3.55,0,0.66
 84-94,0,0,85.08,0,1.58,0,0,2.33,0,0,0,8.37,0,0,219.2,0,0,0.95,0,0,0,5.04,0,1.38
 96-106,0.73,0,147.52,0,3.48,0.85,0,0,0,0,0,6.5,0,0,246.76,0,1.09,0,0,0,0,5.9,1.13,3.74
108-118,1.4,1.96,149.58,0.5,8.2,0,0,5.71,0,1.03,2.7,3.28,0,0,373.86,0,0,0,0,0,0,7.03,0.44,2.9
120,0,0,109.97,0,0,0,0,3.35,0,0,0,11.45,0,0,601.95,0,0,0,0,0,0,1.7,0,0
