stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0
 14-21,0,1.07,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0.94,0,0,0,0,0.9,0,0,7.5,0,0
 24-34,0,0,0,0,0.98,0,0,1.48,0,0,0.86,0.66,0,0,0,20.55,0,2.5,0,1.33,0,0.82,0,11.9,0,0
 36-46,0,0,0,0,1.18,0,0,1.3,0,0,0,0,0,0,0,119.18,1.42,1.22,0,0,0,0,0,17.25,0,0
 48-58,0,0,0,0,14.47,0,0,2.86,0,0,0,0,0.54,0,0,126.47,0.9,0,0,0.37,0,0,0,26.8,0,0
 60-70,0,0,0,3.6,129.32,0,0,1.49,1.25,0,0,0,7.71,0,0,314.79,0,0.57,0,3.16,0,0,0,33.09,0,0
 72-82,0,3.88,0,1.44,256.96,0,0.77,11.59,3.92,0,0,0,26.5,0,0.59,381.81,2.22,0,0,0,0,0,0,32.77,3.83,0
 84-94,0,8.62,0,0.61,235.94,0,0,13.33,6.3,0,0.57,0,27.74,0,0,273.27,0,4.77,0,0,0,0,0,20.08,0,0
 96-106,0,13.17,0,0,192.38,0,0.64,6.98,5.21,0.89,0,9.15,19.84,0,2.18,329.34,2.64,5.4,0,0.63,0,0,0,0,3.35,1.42
108-118,0,5.59,0,2.19,277.95,0,0,22.21,0.7,0,1.15,0,23.31,4.08,0,328.21,0.66,7.29,0,0,0,0,0.49,19.61,8.4,0
120,0,8.73,0,2.81,432.1,1.12,0,19.52,1.61,0,0,0,54.84,0,0,661.94,0,2.08,0,0,0,0,0,0,0,0
