stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,1158.18,26028.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.46,0,0,0,0,0,0,0,0,0
  5-6,1356.12,22069.08,35.37,0,0,0,0,0,0,0,0,38.79,0,0,0,0,0,0,0,0,0,0,0,732.5,75.41,0,0,199.62,0,240.07,0,0,0,0,0,0,0,0,0
  7-9,300.88,432,545.7,0,6.96,978.4,0,0,0,0,0,1131.67,0,0,0,0,0,0,0,0,0,0,0,10054.68,458.65,0,0,3808.57,0,101.06,158.15,0,0,0,0,0,0,0,0
 10-12,0,284.46,648.08,0,44.32,649.04,0,0,0,0,0,303.66,0,0,0,0,0,0,0,0,0,0,3.87,6770.82,139.52,0,0,2487.41,0,4.52,144.91,12.55,256.67,0,42.85,9.29,0,0,0
 14-21,1.39,0.93,60.67,591.21,127.47,170.39,0,0,0,35.39,5.72,3.28,3.99,17.46,8.47,1.48,0.93,0,0,238.38,0,0,289.73,2991.99,66.96,15.89,60.55,64.12,0,136.59,11.83,344.98,34.28,2.29,397.58,900.64,0,12.15,1.41
 24-34,0,0,6.79,85.13,12.57,150.92,0,1.03,0.8,50.08,2.81,0,3.61,38.53,2.35,2.54,3.74,6.85,0,287.3,0,0.69,110.87,2589.67,21.28,16.8,15.96,0,0,155.88,0,2,9.72,1.54,12.54,776.39,0,98.07,10.93
 36-46,0,0,0,37.49,0.6,341.38,0,3.38,0,36.46,0,0,2.09,42.08,0.79,11.4,0,0.66,0,169.01,0,2.5,65.01,1459.51,6.18,2.63,7.95,0,0,51.29,0.78,0,3.26,0,0,529.97,0,27.54,12.38
 48-58,0,0,0,50.23,3.16,417.14,0,1.89,2.25,23.74,0.58,0,4.7,38.22,0.48,12.31,0.37,4.07,1.11,143.36,0.42,5.27,39.74,505.51,2.06,3.37,6.52,0,0,24.52,0,0,0,0,0,166.62,0,26.09,18.2
 60-70,0,0,0,41.48,0,235.4,1.47,3.64,0.86,26.69,5.21,0,2.35,24.15,0,1.89,1.2,3.1,19.66,119.1,0,13.25,25.67,268.36,0.71,1.22,0,0,0,18.89,0,0,0,0,0,31.99,0,11.62,4.81
 72-82,0,0,0,27.44,0.51,95.73,0.55,0,2.78,25.7,2.63,0,2.21,18.71,0,11.48,0,0.59,0,117.24,1.14,12.72,17.68,117.13,0,0,1.54,0,1.6,3.03,0,0,0,0,0,6.33,0.5,24.57,5.09
 84-94,0,0,0,36.13,0.88,76.02,0,0,0,14.45,4.08,0,0.8,22.9,2.55,7.76,0,1.78,1.11,101.34,0,23.68,16.15,140.88,0.76,1.6,7.79,0,0,8.94,0,0,4.39,0,0,3.51,0,46.97,0
 96-106,0,0,0,22.41,2.01,59.16,0,0,6.2,23.54,0.75,0,7.29,29.81,9.11,6.22,0,2.47,0,61.62,0,9.51,15.81,98.05,1.51,0,3.17,0,4.55,4.6,0,0,0.63,0,0,1.89,0,21.48,5.74
108-118,0,0,0.74,14.03,2.79,69.7,0,0,0,26.37,2.51,0,0.63,25.24,0,10.24,0,0.61,2.69,66.47,0,8.47,16.86,138.92,0,0,6.13,0,0,5.39,0.79,0,0.43,0,0,1.23,1.79,26.43,0
120,0,0,0,9.2,2.3,61.45,0,3.21,0,32.16,1.48,0,0,20.74,0,16.48,1.84,0,0,40.64,2.91,1.41,13.84,111.9,1.1,0,3.28,0,0,2.37,0,0,2.12,0,0,0,0,10.54,0
