stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.74,10.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.01,0,0,0,0,0.81,0,0,0,22.47,2.32,0,0,0
 24-34,0,0,0,0.67,0,0,3.81,0,0,0,1.35,2.89,0,1.24,0,39.03,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.98,0,2.14,1.34,0.79,0,0,0,0
 48-58,0,0,0,1.45,0,0,2.29,0,0,0,0.39,12.47,0,5.46,0,0,1.13,0,0.38,7.19
 60-70,4.96,0,0,0.94,0,0,1.37,0,0,0,0,7.88,0,2.27,2.13,0,0,0,0,0
 72-82,0,0,0,1.31,0,1.55,0.5,0,0,1.34,0,2.84,0,3.97,10.5,0,1.1,0,0.77,0
 84-94,4.42,0.65,0,0,0,0,2.18,0,2.41,0,0,8.59,0,8.45,38.29,0,0,0,0,0
 96-106,22.67,0,0,10.19,0,1.03,6.51,0,0,3.43,0,2.04,0,9.25,62.27,0,0,3.71,1.49,1.69
108-118,39.68,0,0.59,1.52,2.91,0,9.42,3.13,18.35,2.12,0,9.68,0,16.53,58.2,0,0,0.63,0,0
120,17.68,0,0,19.01,0,3.24,8.8,0,0,0,0,12.87,0,10.58,63.93,0,0,1.19,0,0
