stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,196.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0,0,0,7.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,129.5,0,0,0,16.16,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,2.68,0,0,0,9.45,1.21,0,0,0,0,9.05,0,0,14.77,3.48,0,0.88,0,0,0,6.76,4.73,5.65,30.9,0,0,0
 24-34,0,0,0,3.02,0,0,12.74,0.67,0,0,0,0,5.01,0,1.19,19.72,0,1.06,0,0,0,0,0,8.37,0.64,17.93,0,0,8.78
 36-46,0,0,0,3.03,0,0,7.73,0,0,0,0,0,1.8,0,0.87,15.97,0,0.82,1.01,0,0,0.78,0,8.42,0,20.86,0,0,0
 48-58,0,0,0,2.97,0,0,5.88,0,0,0,0,0,0,0,0,7.93,0,0.44,0.64,0,0,0,0,0,0,5.35,0.45,0,0
 60-70,0,0,0,9.47,0,0,5.87,0,0,0,0,0,4.18,0,0,11.62,0,2.06,0,0,0,0,0,2.34,0,9.12,0,0,0
 72-82,0,0,0,2.98,0,0,24.37,0,0,0,0,0,12.64,0,0,7.49,0,2.4,0,0,0,0,0,0.57,0,13.06,0,0.54,0
 84-94,0,3.03,0,4.84,0,0,20.93,0,0,0,0,0,7.42,1.4,0,3.05,0,1.74,0,0,0,0,0,2.6,0,2.53,0,0,0
 96-106,0,0,0.6,9.49,0.59,0,25.63,0,0,0.74,0.63,0.8,16.19,0,1.12,3.44,0,1.65,0.76,0,0,0,0,0.7,0,3.57,0,0.65,0
108-118,0,0,0,11.48,0,0.75,21.91,0,0.43,0,0.48,0.5,17.49,2.51,0.44,16.24,0,3.31,0.99,0,1.23,0,0,1.07,0,11.78,1.49,0,0.87
120,0,0,0,22.55,0,0,6.21,0,0,0,0,0,5.84,0,0,15.15,2.33,0,3.55,0,0,1.53,0,9.97,0,1.34,0,0,0
