stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  5-6,10.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,17.45,0,0,0,0,0
 14-21,0,3.76,1.29,0,1.7,0,4.26,0,0,0,0,0
 24-34,0,1.99,3.01,0,0.82,0,16.66,0,5.27,0,2.86,0
 36-46,0,0.71,10.17,10.55,0.99,0,5.99,2.6,0.6,0,3.99,0
 48-58,0,0,1.97,5.11,2,0,20.89,6.52,0,0.72,2.09,0
 60-70,0,1.6,10.55,11.55,3.73,0,9.12,0,0,0,3.5,0
 72-82,0,0,0,1.83,4.31,0,12.1,0,0,0,0,0
 84-94,0,0,6.09,3.67,0,0,5.78,0,0,0,0,0
 96-106,0,1.33,0.7,6.83,3.63,0,3.63,0,0,0,0,0
108-118,0,0.52,1.24,13.25,7.7,0.88,14.65,0,0.48,0,0,1.93
120,0,0,15.14,14.58,9.4,5.07,5.15,0,3.12,0,0,0
