stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,24.73,558.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0
  5-6,49.4,707.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,8.98,0,0,0,0,0,0,0
  7-9,12.92,21.86,7.43,0,0,17.67,0,0,0,0,28.63,0,0,0,0,0,0,0,0,403.42,20.86,0,0,110.5,0,0,0,0,0,0,0,0
 10-12,0,11.96,25.83,0,0,12.06,0,0,0,0,9.81,0,0,0,0,0,0,0,0,277.48,0,0,0,76.21,0,0,17.01,0,0,0,0,0
 14-21,0,0,0,5.07,1.82,0,0,0,0,1,0,0,0,0,0,1.13,0,0,1.17,14.27,0,0,1.4,0,0,4.7,0,3.57,7.63,0,0,0
 24-34,0,0,0.76,1.82,0,2.49,0,0,2.53,0,0,0.6,0,0,0.68,0,0,0.68,0.88,16.78,0,1.36,0,0,4.58,0,0,0,3.75,0,0,0
 36-46,0,0,0,3.38,0,13.88,2.62,0,0,0,0,0,0,0,1.07,0,0.95,0,0,15.8,0,6.53,0,0,22.7,0,0,0,2.19,0,0,0.62
 48-58,0,0,0,3.13,0,3.13,0.45,0,1.63,0,0,0,0,0.5,0,0,1.3,0,0,2.6,0,2.37,0,0,12.72,0,0,0,0,0,0,0
 60-70,0,0,0,12.34,0,4.19,2.35,0,0,0,1.71,0.62,0,0,0,0,1.49,0,0,22.92,0,2.46,0,0,12.84,0,0,0,1.89,0,0,0
 72-82,0,0,0,11.91,10.9,3.89,0.64,0.5,0,0.59,0,0,0,0,0,1.79,1.6,0,0.89,13.32,0,1.95,0,0,4.57,0,0,0,0,0.95,0,0.64
 84-94,0,0,0,7.42,3.37,0.55,0,0,0.84,1.5,0,0,1.31,1.13,0,0,1.02,1.16,0.75,1.44,0,0,6.58,0,13.62,0,0,0,0,3.41,0,0
 96-106,0,0,0,5.57,7.98,0,0,0,2.03,1.17,0,0,0,1.02,0,0,0,0,0,1.29,0,0,0,0,6.16,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,2.49,2.95,0,0,0.88,0,0.73,0,0,0,0,1.2,0,0.53,5.97,1.37,1.44,0.66,0,6.05,0,3.64,0,0,0,3.84,0
120,0,0,0,2.37,2.48,2.62,3.05,0,0,3.79,0,2.78,0,0,0,0,0,0,2.44,2.97,0,2,0,0,19.55,0,0,0,0,0,0,0
