stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,98.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,99.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,0,0,0,0,3.74,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,21.17,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,16.27,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,7.66,0,21.28,20,0,0,2.6,0,0,0,5.65,0.89,9.92,134.23,10.84,0,0,0,0,0
 24-34,0,0,0,0,8.84,0,0,3.01,0,2.55,1.72,1.16,0,0,2.65,0,0,0,0,39.94,0.89,25.51,59.86,1.34,0,0,0,0,1.04,0,8.31,14.33,11.65,24.52,0,0,14.62,0,0.93
 36-46,0,0,0,0,6.84,1.72,0,2.11,1.7,0,1.68,0,0,0,4.04,0,0,4.07,0,42.25,0.83,12.27,106.12,0.85,0,11.23,0,0,0,0,10.22,1.4,0.96,13.89,0,0,9.73,0,0
 48-58,0,0,0,0.43,15.42,5.13,0,12.9,1.19,0,4.03,2.96,0,0,3.35,0,0,0,0,75.91,7.33,12.41,168.81,2.01,0,32.98,0,0,0,0,17.56,1.7,2.82,26.51,0,0,19.31,0,0
 60-70,0,0,0,0,13.01,0,0,20.68,11.58,0,0,25.07,0.75,0,0,0,0,0,0,262.7,21.1,36.7,360.1,0,0,60.46,0,0,0,0,2.25,6.84,0,17.05,0,4.4,10.1,1.03,0
 72-82,0,0,0,0,6.48,2.19,0,55.12,12.56,0,5.66,5.44,1.31,0,5.04,5.6,0.63,2.69,2.54,319.27,35.19,27.71,349.82,0,1.89,103.77,0,5.36,1.31,0,16.69,4.84,0,15.12,0,0.68,8.09,5.87,0
 84-94,0,0,0,0,8.07,0.74,0,52,11.03,0,0,4.36,0,0,7.28,7.36,0,5.56,3.72,356.01,29.36,18,246.49,2.17,0,152.39,0,1.2,0.71,0,13.65,3.58,0,2.36,5.08,4.57,10.18,30.79,0
 96-106,0,0,0.81,0,7.07,5.95,0.62,45.67,12.5,0,0,10.78,0,0,6.76,8.21,0,6.34,7.43,268.12,15.55,26.08,188.39,8.02,0,106.28,10.66,9.96,7.85,0,3.37,2.11,0,2.23,4.1,7.33,4.49,20.67,0
108-118,0,0,0,0,10.33,6.61,3.78,27.88,16.58,0.9,6.57,22.68,0.44,0,3.51,6.99,0,6.32,8.18,333.14,31.62,24.58,205.81,5.49,0,204.47,0,0.96,1.22,0,8.84,2.95,0,3.69,3.55,30.56,2.83,6.09,0
120,1.12,0,0,0,19.41,0,0,97.57,11.82,0,0,18.72,11.35,0,24.02,28.88,0,8.85,0,592.16,44.35,40.94,496.17,6.62,2,306.86,19.84,13.43,1,0,13.42,8.14,0,17.5,4.38,15.61,16.97,53.42,0
