stage,blastomeres,epidermis,eye,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,pericytes,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,30.2,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,0,9.81,0,0,0,0,0,2.89,15.72,0,0,4.93,0,6.65,30.64,0,0,0
 24-34,0,0,0,8.57,0,0,0,0,0,0,4.28,0,0,0,0,5.91,17.29,0,0,0
 36-46,0,0,0.92,0.77,0,0,0,0,0,0,0,0,0,0,0,1.34,13.65,0,0,0
 48-58,0,0,0.64,3.73,0.56,0,0,0,0,0.59,6.72,0.45,1.01,0,0,1.07,9.89,0,0,1.24
 60-70,0,0,0.8,1.62,0,0,0,0,0,0,0,0,1.91,0,0,0,0.96,0,0,0
 72-82,0,0,11.94,4.84,0,0,0,0,0,0,3.36,0,0,0,1.53,1.23,0.93,0,0.93,0
 84-94,0,0,5.75,3.96,0,0,0,1.17,1.91,0,6.18,0,0,1.26,0,1.07,5.92,0,0,0
 96-106,0,0.6,1.38,4.86,0,0,1.18,0,0,3.63,0,0,3.89,4.33,0,0,0,0,0,0
108-118,0,0,4.97,4.61,0,0,0,0,1.15,1.04,2.29,0,2.3,2.45,0,0,2.79,0.43,0,0
120,0,0,0,0,0,4.06,0,0,0,2.57,24.15,0,0,23.01,0,5.04,2.96,9.74,0,0
