stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.18,30.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.26,3.62,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.51,0,0,0,54.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.94,16.82,0,20.3,0,119.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.02,4.36,0,0,70.08,0,0,0,4.98,0,6.22,0,0,0,0,0,0
 14-21,0,0,2.08,34.12,3.52,0,365.99,0,1.07,0,97.74,2,0,36.06,0,0,0,0,275.54,0,0,80.08,2887.68,0.93,0,0,0,0,0,1.98,9.49,3.66,4.47,680.03,0,0,3.01,0,0
 24-34,0,1.67,2.74,12.97,0.76,0,591.6,0,0,0,206.47,0,1.41,46.31,0,0,0,0,263.84,0,4.83,67.44,4080.31,0,0,3.76,0,0.99,6.54,0,6.29,0,2.5,1026.23,0,0,6.95,0,0
 36-46,0,0,0,21.94,1.44,0,1020.5,0,0,0,278.67,0,0,55.3,0,0,0,1.69,193,0,22.91,19.72,2612.17,3.05,0.6,0.58,0,4.95,10.98,0,2.47,1.67,0,810.75,0,1.89,2.08,0,0
 48-58,0,0,0,0.93,2.22,0,1466.61,0,3.86,0.64,399.98,0,0,38.63,0,4.8,0.84,3.29,122.84,0.37,28.2,8.39,1070.87,0,0.44,1.7,0,5.77,0.87,0,2.07,0,0,480.15,0,0.98,3.11,0,2.43
 60-70,0,0,0,14.2,0,0,1106.68,0,0.89,0,323.24,0,0,21.21,3.95,0,0,0,50.07,0,16.14,1.15,372.33,0,0,1.08,0,4.59,0,0,0,0,0,143.11,0,2.22,8.17,0.64,0
 72-82,0,0,0,5.63,0,0,576.77,1.3,0,0,330.1,0.65,0,7.24,0,0,0,0,43.5,0,30.96,2.5,195.05,0,0.93,0,0,2.36,2.2,0,3.36,0,0,54.76,2.31,2.78,1.66,1.51,0
 84-94,0,0,0,2.06,0,0,478.96,0.56,0.82,0,269.41,1.62,0,12.59,0,0.7,0.81,0,33.26,0,24,1.73,222.26,0,0,0.6,0,11.7,0.81,0,2.71,0,0,66.47,0,0.69,0,0,0
 96-106,0,0,0,3.63,0,2.12,445.37,0,0.62,3.53,285.49,0,0,6.02,0,0,0,0,23.1,0,21.88,5.53,156.75,0,0.66,0,0,6.16,4.15,0,5.13,0,0,53.53,0,2.81,0,3.47,9.75
108-118,0,0,0,5.02,0.94,0,440.45,0,0.48,0.81,232.54,0,0,8.25,0,1.06,0,2.61,30.35,0,33.66,1.26,204.34,0.54,1.52,0,0,0.76,2.27,0,1.87,0,0,35.29,0,0,0,0,0
120,0,0,0,0,0,0,559.96,0,0,14.76,258.04,0,0,8.12,1.58,0,0,0,7.85,0,9.31,6.93,172.32,0,1.45,0,0,3.68,17.79,0,1.62,0,0,45.59,0,0,0,0,0
