stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,116.65,2256.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.88,0,0,0,0,0,0,0
  5-6,143.29,2148.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,25.41,0,62.32,0,0,0,0,0,0,0
  7-9,9.08,27.08,0,12.55,0,0,0,26.62,0,0,0,0,0,18.95,0,0,0,0,0,0,0,0,0,0,0,459.39,16.82,0,0,125.76,0,5.09,15.38,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.21,0,0,0,0,0,11.71,0,0,0,0,0,0,0,0,0,0,0,88.3,0,0,0,27.1,0,4.24,0,0,0,0,0,0,0
 14-21,0,0,0,3.02,289.04,3.18,0,0.96,0,4.61,0,0,0.85,0,0,0,19.66,0,0,0,0,3.29,0,0,1.1,26.16,2.76,1.08,1.27,0,0,365.02,0,0.89,1.91,0,4.85,0,0
 24-34,0,0,0,2.75,314.45,0,0,8.25,0,52.32,0,0,0.66,0.74,2.44,0,38.39,0,3.41,0,0.78,2.3,19.06,0,4.31,133.09,0,2.92,0,0,0.99,1056.57,0,2.33,21.76,0,62.99,0,0
 36-46,0,0,0,0,204.18,0,0,10.6,0,126,0,6.43,0,15.8,0,0,27.94,0,5.93,0,1.33,5.01,22.02,0,2.4,108.47,0,7.25,1.92,0,0,1129.55,0,2.78,16.45,0,44.8,0,7.42
 48-58,0,0,0,0,210.45,0.69,0,23.57,0.61,76.79,1.48,13.78,0.87,6.36,0,0.58,5.53,0,3.62,2.1,3.43,6.09,25.94,0,2.05,91.61,0,0.84,0.44,0,0,831.5,0,1.25,12.7,0,8.24,0,15.85
 60-70,0,0,0,0,168.16,0.59,0,19.24,1.44,76.15,1.21,5.45,4.04,0,0,0,15.6,0,3.61,0,0,7.29,21.04,0,0.92,53.1,1,3.31,17.23,0,0,621.64,0,0,2.92,1.81,11.56,0,0
 72-82,0,0,0.98,0,173.72,1.23,0,24.8,0,68.99,0.56,3.68,12.88,0.59,0,3.76,19.61,0,11.24,0,0,15.09,17.22,0,0,62.12,0,3.07,7.61,0,0,370.98,0,0.76,15.3,1.3,18.3,0.57,0
 84-94,0,0,1.05,0,277.8,1.01,0,25.87,0,87.1,0,1.01,30.6,3.24,0,9.22,36.3,0.62,8.86,0,2.24,23.84,46.9,0,0,32.76,1.86,5.17,3.43,0,0,942.34,0,5.41,0,12.02,10.64,0,0
 96-106,0,0,2.94,1.03,281.68,18.26,1.52,43.93,0,84.51,0,21.31,27.6,0,0,10.55,29.98,0,14.78,14.32,0.67,32.36,42.02,1.84,0.95,77.62,0,7.3,7.08,0,0,753.11,0,2.41,10.7,17.55,23.34,1,0
108-118,0,0,0,0.74,323.39,3.11,6.22,23.81,0.92,123.63,0.74,12.89,55.68,0,0.86,13.8,48.81,0,11.45,2.7,3.47,22.41,42.82,2.3,3.94,40.49,0,8.79,8.85,0,0.91,764.39,0,5.83,0.83,44.78,11.26,0,2.18
120,0,0,0,0,314.88,0,1.03,41.18,0,73.26,0,2.07,36.27,0,2.09,5.94,38.62,0,13.12,25.42,0,10.45,22.01,0,3.76,81.42,0,1.62,5.58,0,19.53,410.08,0,1.86,0,5.74,14.9,0,0
