stage,blastomeres,mesenchyme,mucous,neural,paraxial.mesoderm,pgc,vasculature
  3-4,34.28,0,0,0,0,0,0
  7-9,0,0,0,0,4.15,5.11,0
 10-12,0,0,0,3.14,0,0,0
 14-21,0,0,0,0,0,0,0.85
 72-82,0,0,0.61,0,0,0,2.36
108-118,0,1.72,0,0,0,0,0
