stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.29,558.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0
  5-6,99.94,1094.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.65,7.03,0,0,0,9.92,0,0,0,0,0,0,0,0
  7-9,12.73,10.72,0,25.5,0,0,40.64,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,455.54,50.21,0,0,168.05,4.29,0,0,0,0,0,0,0,0
 10-12,0,11.73,0,24.51,0,0,27.65,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,261.83,0,0,0,145.86,0,0,6.67,3.24,0,0,0,0,0
 14-21,0,0,0,4.36,25.37,7.74,5.8,0,0,5.23,1.29,0,0,0,0,0,0,13.19,0,0,8.35,254.68,26.67,0.89,0.84,6.58,1.29,51.8,0,23.42,83.34,0,4.1,0,0
 24-34,0,0,0,1.39,3.64,1.11,16.03,0.7,0,0,0,0,0,0,0,0,0,24.7,0.61,0,9.16,204.32,1.55,0.75,0.76,0,5.26,0,0.93,1.29,51.65,0,2.65,0,0
 36-46,0,0,0,0,0.6,0,23.65,0,0.6,6.05,0,0,0,0,0,0,0,14.91,0,0,11.9,109.38,0,0,0,0,11.84,0,0,0,34.72,0,3.15,0,0
 48-58,0,0,0,0,0,0,34.62,0,0,2.74,0.51,0,0.55,0,0,1.98,0,15.46,0,0,3.47,59.23,0,0,0.44,0,1.05,0.92,0,0,9.83,0,0,0,2.57
 60-70,0,0,0,0,1.72,0,15.45,0,0,1.92,0,0,0,0,0,0,0.74,12.79,0,0.88,0,22.51,0,0,0,0,2.85,0,0,0,3.41,0,0,0,0.72
 72-82,0,0,0,0,3.09,0,7.17,0,0.58,7.82,0,0,0,0,0,0,0,17.48,0,0,3.12,30.71,0.66,0,1.32,0,0,0,1.18,0,1.27,0,0.74,3.2,0
 84-94,0,0,0,1.04,1.59,0,6.91,0,0,4.39,0,0,0,0,0,0,0,3.52,0,0,0.77,11.49,0,0,0.92,0,0.74,0,0,0,0,0,2.14,0,0
 96-106,0,0,0,0,0.81,0,5.62,0,0.65,4.87,0.66,0,0.73,1.14,0,0.97,0,13.29,0,0,1.96,29.18,0,1.85,0,0,0,0,0,0,1.34,0,0.65,0.61,0
108-118,0,0,0.76,0,2.04,0,4.38,0,0,9.03,0,0,0,0,0.81,0,0.56,7.75,0,0.92,3.45,20.25,0,0,1.24,0,0,0,0,0,1.03,0,2.29,0,0
120,0,0,0,0,4.93,0,1.77,0,0,0,0,0,0,4.39,0,0,0,2.98,0,0,2.41,38.32,0,0,0,0,0,0,0,0,0,1.56,4.98,0,0
