stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  5-6,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0
 24-34,0,0,0,1.77,0,0,0,0,0,0,36.74,0,0,0,0,0,1.37,0
 36-46,0,0,0,1.24,1.39,0,1.3,0,0,0,81.11,0,0,2.24,0,0,2.84,0
 48-58,0,0,0.71,0,0,0,3.1,0,0,0,125.34,0,0,0,0,0,0.56,0
 60-70,0,0,3.99,4.35,0,0,0,1.26,0,0,183.41,0,0,0,0,0,3.8,0
 72-82,0,0,2.14,9.82,0,0,2.18,0,0,0,293.29,0,0,0,0,0,6.81,0
 84-94,0,0.74,2.66,27.89,0,0,0,1.98,2.23,0,282.59,7.38,0,4.34,0,0,0,0
 96-106,0,0,4,0.73,0,0,2.92,0,0,0,229.85,0,0,0,3.82,0.57,1.35,0
108-118,0,0,15.63,8.93,0,0,6.74,2.55,0,1.35,188.91,0,0,0,0,0,1.41,1.41
120,0,2.94,4.46,10.11,0,19.12,0,12.85,0,0,456.85,0,0,0,0,0,4.07,0
