stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,14.43,287.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0
  5-6,0,607.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,17.56,0,0,0,0,0,0,0
  7-9,9.45,6.72,5.02,0,0,31.98,0,0,0,17.23,0,0,0,0,0,0,0,251.61,0,0,0,46.09,5.09,0,0,0,0,0,0
 10-12,0,0,19.33,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,164.02,0,0,0,73.47,0,0,13.69,0,0,0,0
 14-21,0,0,0.84,1.96,2.04,0.96,0,0,0.82,0,0,0,0,0,0,0,0,9.25,0,0,2.04,1.21,0,4.89,0.87,0,5.54,4.73,0
 24-34,0,0,0,1.24,0.62,1.38,0.93,0,2.18,0,0,0,1.57,0,0.88,0,1.38,8.01,0,0,0,0,6.61,0,0,0,0,2.81,0
 36-46,0,0,0,2.78,0,15.25,0,0,0,0,0,0,0,0,10.5,0,1.54,13.66,0,0,0.59,0,3.45,0,0,8.64,0,4.23,0
 48-58,0,0,0,4.66,0,12.59,0.37,0,0,0,1.08,0,0,1.05,1.38,0,0,9.57,0,0,0,0,6.21,0,0,0,0,0,0
 60-70,0,0,0,9.72,0,12.92,2.99,0,0.8,0,0,0,0.61,0,1.78,0,2.15,4.32,5.06,0,0,0,11.14,0,1.12,0,0,8.46,0
 72-82,0,0,0,0.68,1.83,6.78,0,0.57,0.63,0,0,0,0.55,0,1.11,0,0,5.88,0,0,0.5,0,3.15,0,0,0,0,0,0
 84-94,0,0,0,2.1,4.94,0.76,0.63,0,0,0,0,0,0,0,1.71,0,0,3.36,0,1.95,0.64,0,8.96,0,0,0,0,0,0
 96-106,0,0,0,0,2.8,1.71,0,0,2.62,0,0,0,0.94,0,5.42,1.76,0,3.57,0,0,0,0,1.61,0,0,0,0,0,0
108-118,0,0,0,4.12,1.82,0.81,1.7,0,1.55,0,0,0,0,0,4.44,2.11,0.45,3.72,0,0,0,0,6.88,0,0,0,0,0,0.58
120,0,0,0,28.58,0,1.38,1.42,0,0,0,0,1.95,1.25,0,1.53,0,0,26.64,0,0,0,0,12.2,0,0,0,0,0,0
